Item No.,Location Code,Description,Category,Subcategory,On_Hand_Display,Stock_Value,Last Posting Date,Status,Days Dormant
17619-CL,LD-RAI-022,Skylight 9W LED Lunar Emergency Bulb - CL,LIGHTING,SKYLIGHT LED,6800,917424.2,10-11-2025,Slow-Moving,75
MIX-417,LF-VAS-006,Kurz Foil Mini Size 50 / 61 / 67 / 70 / 110 mm ,MIX,,684,916076.5,16-10-2025,Slow-Moving,100
2251-W,LD-VIJ-027,Gold Combine 6/16A with Box & Ind. - W,NON-MODULAR,GOLD,12615,915040.37,10-11-2025,Slow-Moving,75
SFG-2251-SIL-W,LF-SIL-017,,SFG,,23300,904780.58,12-11-2025,Slow-Moving,73
9601-W,LD-LUC-017,,MODULAR,STATUS,72338,900996.6000000001,11-11-2025,Slow-Moving,74
SFG-9376-HAR-W,LF-HAR-E57,SFG - Status Mini Step Fan Regulator -HAR,SFG,,77366,880663.9,13-11-2025,Slow-Moving,72
4346-MW,IN_TRANSIT,Lite Combine 6/16A with Box & Ind. - MW,NON-MODULAR,GOLD,15144,880147.37,13-11-2025,Slow-Moving,72
B-015,LF-SIL-017,,BRASS,,1172,870359.0,12-11-2025,Slow-Moving,73
D-080,LF-HAR-E57,Combo USB (A+C) circuit,DIMMER,,4339,851390.0,15-09-2025,Slow-Moving,131
FG-4131-MX,LF-SIL-017,,FG,,570,846000.0,13-11-2025,Slow-Moving,72
C-001,LF-HAR-E57,Status 16A 1W Dolly Bimetal Rivit  -  Mum (Size 3.5 x 1.5 x 2 x 2.20 / 0.4 ) Silver Layer,CUTTING,,935,845731.59,31-10-2025,Slow-Moving,85
9381-W,IN_TRANSIT,Status Medium Step Fan Regulator - W,MODULAR,STATUS,6350,837017.43,13-11-2025,Slow-Moving,72
WR-029,LF-HAR-E57,,WIRE,,7479,832000.0,30-10-2025,Slow-Moving,86
10312-W,LF-HAR-E57,,MODULAR,STATUS,9710,817348.3,12-11-2025,Slow-Moving,73
B-015,LF-HAR-E57,16A PlugTop Brass (4.86 kg),BRASS,,669,814441.73,31-10-2025,Slow-Moving,85
PWD-043,LF-HAR-E57,PBT V Brown,PC,,4554,812559.0,06-10-2025,Slow-Moving,110
3356-W,IN_TRANSIT,Galaxy Ding Dong Bell - W,SUPPORTED,VALUE,13702,811106.9,13-11-2025,Slow-Moving,72
MCB-014,LF-DEL-01,J Clamp For Triprite Mcb,MCB,,179824,807362.8,12-11-2025,Slow-Moving,73
19016-G,IN_TRANSIT,Estella 1 Way Switch 20A with Ind. (Grey) - G,MODULAR,ESTELLA,15489,806469.8099999999,13-11-2025,Slow-Moving,72
9316-W,LD-CEN-003,Status 3 Pin Socket 6A - W,MODULAR,STATUS,25115,800347.28,13-11-2025,Slow-Moving,72
B-120,LF-HAR-E57,RTC With Screw & Bi - metal Status 32A DP,BRASS,,355,797120.5399999999,06-10-2025,Slow-Moving,110
MCB-10125,LF-HAR-E57,,MCB,,21189,794182.5,13-11-2025,Slow-Moving,72
3261-W,IN_TRANSIT,Trico Wireless Remote Bell - W,SUPPORTED,VALUE,3301,789633.89,13-11-2025,Slow-Moving,72
9601-W,LD-CUT-003,,MODULAR,STATUS,78800,788139.24,27-10-2025,Slow-Moving,89
17609-CL,LD-CUT-012,Skylight 9W LED Lunar Bulb - CL,LIGHTING,SKYLIGHT LED,37600,782814.64,31-10-2025,Slow-Moving,85
MCB-4663,LF-DEL-01,,MCB,,3175,780640.0,13-11-2025,Slow-Moving,72
9316-W,LD-GWA-010,,MODULAR,STATUS,39344,778057.44,12-11-2025,Slow-Moving,73
B-023,LF-SIL-017,,BRASS,,12091,778000.0,11-11-2025,Slow-Moving,74
PWD-185,LF-SIL-017,Status PC (EPC DPONATE 2000U : 01-0001M),PC,,3800,773000.0,31-10-2025,Slow-Moving,85
2251-W,IN_TRANSIT,Gold Combine 6/16A with Box & Ind. - W,NON-MODULAR,GOLD,11203,759719.04,13-11-2025,Slow-Moving,72
5225-W,LF-DEL-01,TripRite R.C.C.B 25A D.P. (30mA) - W,MCB,TRIPRITE MCB,367,758041.7,01-09-2025,Slow-Moving,145
C-071,LF-AND-28,Eco/Deluxe Dp Cutting Parts,CUTTING,,51924,751232.0,10-11-2025,Slow-Moving,75
9251-W,LD-GWA-010,Status 1 Way Switch 6AX - W,MODULAR,STATUS,27845,749600.5800000001,31-10-2025,Slow-Moving,85
MCB-10132,LF-HAR-E57,SFG  -  Tiny MCB C - 32A SP,MCB,,19353,742400.25,13-11-2025,Slow-Moving,72
9376-W,LF-AND-28,,MODULAR,STATUS,11729,739498.38,12-11-2025,Slow-Moving,73
3221-W,LF-PAL-A03,Silver Wireless Remote Bell - W,SUPPORTED,VALUE,436,737205.91,07-10-2025,Slow-Moving,109
11112-W,LF-HAR-E57,Smile 12M Plate - W,MODULAR,STATUS,16930,736788.6599999999,12-11-2025,Slow-Moving,73
9506-W,LF-HAR-E57,,MODULAR,STATUS,9350,731305.08,12-11-2025,Slow-Moving,73
MCB-5263,LF-DEL-01,SFG Triprite RCCB 63A DP 30mA,MCB,,2052,722430.32,30-10-2025,Slow-Moving,86
SFG-9016-MW,LF-HAR-E57,SFG  -  Wawa 3pin Socket 6A  -  Milky White,SFG,,46900,721890.0,31-10-2025,Slow-Moving,85
POP-8450,LF-AND-28,,POP,,220,720000.0,08-11-2025,Slow-Moving,77
17619-CL,LD-RIS-23A,Skylight 9W LED Lunar Emergency Bulb - CL,LIGHTING,SKYLIGHT LED,2901,716246.1799999999,31-10-2025,Slow-Moving,85
SFG-18001,LF-VAS-006,,SFG,,31716,715824.9,13-11-2025,Slow-Moving,72
