Item No.,Location Code,Description,Category,Subcategory,On_Hand_Display,Stock_Value,Last Posting Date,Status,Days Dormant
1991-W,LD-RAI-022,Deluxe Plug Top 16A - W,SUPPORTED,VALUE,7396,136085.12,30-10-2025,Slow-Moving,86
2646-W,LF-PAL-A03,Colour 6*6 Power Strip 1.5mtr 6A - W,SUPPORTED,VALUE,140,136055.72,07-10-2025,Slow-Moving,109
22076-G,LD-RAI-022,Status Mini Step Fan Regulator (Grey) - G,MODULAR,STATUS - GREY ACC,660,135968.3,11-10-2025,Slow-Moving,105
PK-M-012,LF-VAS-006,,PACKAGING,,110,135960.0,04-11-2025,Slow-Moving,81
7031-W,LF-AND-28,Style Indicator - W,NON-MODULAR,STYLE,8360,135933.6,01-09-2025,Slow-Moving,145
MCB-204,LF-DEL-01,Bi - Metal 32A Smcas - 11 For Triprite Mcb,MCB,,42811,135840.0,06-11-2025,Slow-Moving,79
9326-W,LD-CUT-003,,MODULAR,STATUS,4719,135697.82,31-10-2025,Slow-Moving,85
9326-W,LD-RAI-022,Status Neon Indicator - W,MODULAR,STATUS,1900,135697.79,20-09-2025,Slow-Moving,126
9381-W,LD-RAI-022,,MODULAR,STATUS,770,135691.24,31-10-2025,Slow-Moving,85
2406-MW,LD-KOL-015,Deluxe Surface D.P. 32A - MW,NON-MODULAR,GOLD,2100,135543.65,13-11-2025,Slow-Moving,72
16016-CL,LF-SIL-017,,LIGHTING,SKYLIGHT LED,1500,135470.0,12-11-2025,Slow-Moving,73
2541-MW,LD-RAI-022,,SUPPORTED,VALUE,7280,135450.0,12-11-2025,Slow-Moving,73
1991-MW,LD-COI-006,Deluxe Plug Top 16A - MW,SUPPORTED,VALUE,4004,135274.08,30-10-2025,Slow-Moving,86
2496-MW,LD-BAN-002,,SUPPORTED,VALUE,3820,135090.0,06-11-2025,Slow-Moving,79
16409-CLPGB,LD-RAI-022,Skylight 8+8W LED Galaxy Double Colour Concealed Light - CLPGB,LIGHTING,SKYLIGHT LED,1189,135084.37,10-11-2025,Slow-Moving,75
10116-W,IN_TRANSIT,Status MCB 16A SP - W,MODULAR,STATUS,2078,135014.2,13-11-2025,Slow-Moving,72
LED-16451-W,LF-VAS-006,,LED,,3000,135000.0,10-11-2025,Slow-Moving,75
PK-1601,LF-HAR-E57,Hologram for Piece,PACKAGING,,8762715,135000.0,06-10-2025,Slow-Moving,110
MLWM-9506-P,LF-AND-28,,MOULDING WITH MTRL,,43280,134934.4,12-11-2025,Slow-Moving,73
PWD-147,LF-VAS-006,PC Smoke (Makrolon 2807)  -  751739,PC,,554,134857.36,06-10-2025,Slow-Moving,110
3031-W,LD-KOL-015,Orbit  -  Multi Religious - W,SUPPORTED,VALUE,1070,134843.53999999998,24-10-2025,Slow-Moving,92
1906-W,IN_TRANSIT,Great Safety Line Tester - W,SUPPORTED,ALLIED,12712,134765.8,13-11-2025,Slow-Moving,72
4663-W,LD-CEN-003,,MCB,TRIPRITE MCB,306,134750.04,10-11-2025,Slow-Moving,75
16016-CL,IN_TRANSIT,Skylight 16W LED Spectrum Downlight Round Panel - CL,LIGHTING,SKYLIGHT LED,992,134284.53,13-11-2025,Slow-Moving,72
7250-Y,LF-HAR-E57,,WIRE,ECO-FR,100,134202.0,12-11-2025,Slow-Moving,73
9236-MW,LD-RAI-022,,NON-MODULAR,WAWA,1890,134043.81,10-11-2025,Slow-Moving,75
MCB-25010,LF-DEL-01,SFG  -  Assure ACCL SPN 10A,MCB,,268,134000.0,12-11-2025,Slow-Moving,73
MCB-201,LF-DEL-01,Bi - Metal 16A Smcas - 1577 For Triprite Mcb,MCB,,27482,133952.0,12-11-2025,Slow-Moving,73
4221-W,LF-PAL-A03,Bingo 2 Pin Flex Box 4mtr - W,SUPPORTED,VALUE,1515,133861.06,09-10-2025,Slow-Moving,107
10712-W,LD-GWA-010,,MODULAR,STATUS,966,133855.6,24-10-2025,Slow-Moving,92
3261-W,LD-CUT-003,Trico Wireless Remote Bell - W,SUPPORTED,VALUE,310,133835.32,17-10-2025,Slow-Moving,99
2506-MW,LD-RIS-23A,Soft Batten Holder with OBR - MW,SUPPORTED,VALUE,6186,133830.83,17-10-2025,Slow-Moving,99
4346-MW,LD-DHA-007,,NON-MODULAR,GOLD,1600,133654.1,12-11-2025,Slow-Moving,73
PWD-181,LF-HAR-E57,PC Clear Grinding,PC,,975,133575.0,01-09-2025,Slow-Moving,145
21036-W,IN_TRANSIT,Teron 3 Pin Socket 6A - W,MODULAR,TERON,9035,133436.35,08-11-2025,Slow-Moving,77
4281-MW,IN_TRANSIT,,SUPPORTED,VALUE,9990,133187.75,13-11-2025,Slow-Moving,72
25240-W,LD-LUC-017,Assure Changeover 40A DP - W,MCB,ASSURE MCB,465,132737.09,30-10-2025,Slow-Moving,86
10708-W,LD-RAI-022,Axis 8HM Plate - W,MODULAR,STATUS,1840,132625.3,06-11-2025,Slow-Moving,79
SFG-9386,LF-AND-28,,SFG,,6916,132510.56,12-11-2025,Slow-Moving,73
SFG-10132-HAR-W,LF-HAR-E57,SFG - Status MCB 32A SP -HAR,SFG,,31185,132408.0,31-10-2025,Slow-Moving,85
10706-W,LD-PAT-021,,MODULAR,STATUS,2400,132372.55,10-11-2025,Slow-Moving,75
MLWM-9316-B,MOH-2120,Status 3pin Socket Base  -  Wi,MOULDING WITH MTRL,,42366,132309.0,13-11-2025,Slow-Moving,72
2511-MW,LD-GWA-010,,SUPPORTED,VALUE,3032,132263.64,30-10-2025,Slow-Moving,86
MCB-10232,LF-HAR-E57,,MCB,,761,132237.5,13-11-2025,Slow-Moving,72
16008-CL,IN_TRANSIT,Skylight 8W LED Spectrum Downlight Round Panel - CL,LIGHTING,SKYLIGHT LED,1511,132109.15,10-11-2025,Slow-Moving,75
5250-BK,LD-RIS-23A,,WIRE,TRISAFE+,66,131901.32,31-10-2025,Slow-Moving,85
19001-G,LD-PAT-021,,MODULAR,ESTELLA,7760,131708.14,12-11-2025,Slow-Moving,73
5263-W,LD-LUC-017,TripRite R.C.C.B 63A D.P. (30mA) - W,MCB,TRIPRITE MCB,201,131652.76,18-10-2025,Slow-Moving,98
5150-R,LF-HAR-E57,,WIRE,TRISAFE+,160,131551.5,12-11-2025,Slow-Moving,73
1686-MW,LD-BAN-002,Gold Universal Socket 6/16A - MW,NON-MODULAR,GOLD,2613,131546.9,22-10-2025,Slow-Moving,94
19509-G,IN_TRANSIT,,MODULAR,ESTELLA,1413,131305.90000000002,13-11-2025,Slow-Moving,72
17619-CL,LD-PAT-021,,LIGHTING,SKYLIGHT LED,1000,131060.6,10-11-2025,Slow-Moving,75
16008-CL,LW-BHI-58,,LIGHTING,SKYLIGHT LED,3,130970.66,06-11-2025,Slow-Moving,79
16450-WL,LD-ROH-024,Skylight LED Mood Rope Light 120 LED (50mtr) with Connector - WL,LIGHTING,SKYLIGHT LED,46,130450.06,12-11-2025,Slow-Moving,73
3120-W,IN_TRANSIT,TripRite C - MCB 20A SP - W,MCB,TRIPRITE MCB,3150,130216.54,11-11-2025,Slow-Moving,74
PK-P-21036,LF-HAR-E57,Teron Socket Printed Panni,PACKAGING,,318000,130112.0,19-09-2025,Slow-Moving,127
2866-W,IN_TRANSIT,Beetel Remote Bell - W,SUPPORTED,VALUE,341,130065.36,13-11-2025,Slow-Moving,72
3201-MW,IN_TRANSIT,Gold Mini Step Fan Regulator - MW,NON-MODULAR,GOLD,1890,130045.92000000001,13-11-2025,Slow-Moving,72
5250-BL,LD-SRI-025,Trisafe+ Wires 2.50 Sq.mm. 90mtr 1100V PVC Ins. H.V. Ind. Cable - BL,WIRE,TRISAFE+,77,129969.52,31-10-2025,Slow-Moving,85
21306-W,LF-HAR-E57,,MODULAR,TERON,3630,129939.3,12-11-2025,Slow-Moving,73
1202-BL,IN_TRANSIT,Smartwood 2M Plate - BL,MODULAR,STATUS,4021,129872.88,10-11-2025,Slow-Moving,75
PK-1513,LF-HAR-E57,Master Ctn  -  Job No.16,PACKAGING,,590,129540.0,30-10-2025,Slow-Moving,86
B-100,LF-SIL-017,Single Adapter Brass Set (0.135 kg),BRASS,,167,129498.23999999999,12-09-2025,Slow-Moving,134
1991-MW,LW-GHA-59,,SUPPORTED,VALUE,2569,129373.8,05-11-2025,Slow-Moving,80
9716-W,LD-PAT-021,Status 3 Pin Socket 6A with Shutter - W,MODULAR,STATUS,1950,129318.0,10-11-2025,Slow-Moving,75
MCB-042,LF-DEL-01,Aluminium Tube 19mm  -  Common,MCB,,266045,129310.4,12-11-2025,Slow-Moving,73
SFG-9251,LF-AND-28,,SFG,,7913,129249.16,13-11-2025,Slow-Moving,72
1961-MW,IN_TRANSIT,Glow Plug Top 16A - MW,SUPPORTED,VALUE,3809,129157.24,13-11-2025,Slow-Moving,72
SFG-9391-HAR-W,LF-HAR-E57,SFG - Status 2 Way Switch 16AX - HAR,SFG,,7731,129077.37,31-10-2025,Slow-Moving,85
16408-CL,LD-RAI-022,,LIGHTING,SKYLIGHT LED,2062,128966.48999999999,10-11-2025,Slow-Moving,75
9256-W,LF-HAR-E57,,MODULAR,STATUS,2040,128936.0,12-11-2025,Slow-Moving,73
18503-W,IN_TRANSIT,Estella 3M Plate - W,MODULAR,ESTELLA,3150,128916.30000000002,13-11-2025,Slow-Moving,72
SC-050,LF-VAS-006,,SCREW,,3021,128836.34,12-11-2025,Slow-Moving,73
9426-W,LD-RAI-022,Status Dual D.P. Switch 32A with Ind. - W,MODULAR,STATUS,770,128765.12000000001,27-10-2025,Slow-Moving,89
17603-CLPGB,LW-BHI-58,Skylight 3+3W LED Duet Double Colour Round Panel PC Body - CLPGB,LIGHTING,SKYLIGHT LED,1380,128759.68000000001,06-11-2025,Slow-Moving,79
PK-O-9376,LF-HAR-E57,,PACKAGING,,7000,128560.03,31-10-2025,Slow-Moving,85
6808-W,IN_TRANSIT,Modular Gang Box 8HM - W,MODULAR,MODULAR BOXES,2100,128293.70000000001,13-11-2025,Slow-Moving,72
16112-CL,LD-RAI-022,Skylight 12W LED Slim Square Panel - CL,LIGHTING,SKYLIGHT LED,16,128150.34,11-09-2025,Slow-Moving,135
MLWM-9316-P,MOH-2120,Status 3pin Socket Plate  -  W,MOULDING WITH MTRL,,42366,128028.0,13-11-2025,Slow-Moving,72
PWD-136,LF-AND-28,,PC,,800,128000.0,02-11-2025,Slow-Moving,83
PK-P-11112,LF-HAR-E57,Smile 12M Printed Panni,PACKAGING,,58000,127980.0,01-09-2025,Slow-Moving,145
7150-R,IN_TRANSIT,,WIRE,ECO-FR,150,127961.81,08-11-2025,Slow-Moving,77
16420-CL,LD-RAI-022,Skylight 20W LED Iris T - 5 - CL,LIGHTING,SKYLIGHT LED,2120,127952.87,01-10-2025,Slow-Moving,115
25515-W,LF-DEL-01,Assure Changeover 200A/415V FP - W,MCB,ASSURE MCB,8,127845.28,01-09-2025,Slow-Moving,145
FG-2961,LF-PAL-A03,,FG,,1600,127785.6,12-11-2025,Slow-Moving,73
B-016,MOH-2120,Male pin,BRASS,,114,127702.08,08-11-2025,Slow-Moving,77
7021-W,LF-HAR-E57,Style 3pin Socket 6A - W,NON-MODULAR,STYLE,7220,127600.2,19-09-2025,Slow-Moving,127
22041-G,LD-DHA-007,Status Universal Socket 6/16A (Grey) - G,MODULAR,STATUS - GREY ACC,1880,127509.86,12-11-2025,Slow-Moving,73
16307-CL,LD-LUC-017,Skylight 7W LED Galaxy Concealed Light - CL,LIGHTING,SKYLIGHT LED,2237,127354.95000000001,13-11-2025,Slow-Moving,72
9326-W,LD-LUC-017,Status Neon Indicator - W,MODULAR,STATUS,5451,127206.48,09-10-2025,Slow-Moving,107
POP-004,LH-302-001,PM CONA Sun Board,POP,,1369,127135.9,31-10-2025,Slow-Moving,85
10708-W,IN_TRANSIT,Axis 8HM Plate - W,MODULAR,STATUS,1031,127048.55,11-11-2025,Slow-Moving,74
9001-MW,LD-JAI-014,,NON-MODULAR,WAWA,18639,127038.67000000001,13-11-2025,Slow-Moving,72
22125-G,LF-HAR-E57,,MODULAR,STATUS - GREY ACC,1540,126918.0,12-11-2025,Slow-Moving,73
SFG-1210-BL,LF-VAS-006,,SFG,,335,126907.25,27-10-2025,Slow-Moving,89
MCB-10116,ARU-0057,,MCB,,3600,126900.0,10-11-2025,Slow-Moving,75
14625-W,LF-HAR-E57,Platinum MCB 25A Dp - W,MODULAR,PLATINUM,640,126643.2,06-10-2025,Slow-Moving,110
22071-G,IN_TRANSIT,Status Mini Dimmer (Grey) - G,MODULAR,STATUS - GREY ACC,1565,126366.45,13-11-2025,Slow-Moving,72
22256-WL,LF-HAR-E57,,MODULAR,STATUS,1050,126336.0,12-11-2025,Slow-Moving,73
9381-W,LD-PAT-021,,MODULAR,STATUS,850,126306.0,10-11-2025,Slow-Moving,75
2196-W,LD-CUT-003,,SUPPORTED,VALUE,7978,126194.67,31-10-2025,Slow-Moving,85
1621-W,LD-DHA-007,Gold 3 Pin Socket 6A - W,NON-MODULAR,GOLD,1100,126193.68,21-09-2025,Slow-Moving,125
7250-BL,LF-HAR-E57,,WIRE,ECO-FR,94,126149.88,12-11-2025,Slow-Moving,73
2496-MW,LD-LUC-017,,SUPPORTED,VALUE,3818,126084.0,30-10-2025,Slow-Moving,86
2496-MW,LD-RIS-23A,,SUPPORTED,VALUE,3120,126084.0,31-10-2025,Slow-Moving,85
3110-W,LD-RAI-022,TripRite C - MCB 10A SP - W,MCB,TRIPRITE MCB,1152,126025.98,14-10-2025,Slow-Moving,102
4276-MW,LF-HAR-G1,Novel Plug Top 6A - MW,SUPPORTED,VALUE,18390,125985.57,03-11-2025,Slow-Moving,82
PWD-101,LF-AND-28,Gold Urea (2567) for 6A,UREA,,1264,125705.48999999999,30-10-2025,Slow-Moving,86
3120-W,LF-DEL-01,,MCB,TRIPRITE MCB,4152,125599.32,12-11-2025,Slow-Moving,73
22076-G,LD-MEE-019,Status Mini Step Fan Regulator (Grey) - G,MODULAR,STATUS - GREY ACC,440,125509.2,09-09-2025,Slow-Moving,137
1113-W,LF-HAR-E57,Conwood 4.5*8.5 - W,NON-MODULAR,CONWOOD,2070,125334.88,06-10-2025,Slow-Moving,110
18086-W,LF-HAR-G1,Estella Medium Step Regulator - W,MODULAR,ESTELLA,932,124929.63,11-11-2025,Slow-Moving,74
9296-W,LD-CUT-003,Status Dual Bell Push 6AX with Ind. - W,MODULAR,STATUS,1330,124901.79,27-10-2025,Slow-Moving,89
MCB-202,LF-DEL-01,Bi - Metal 20A Smcas - 50 For Triprite Mcb,MCB,,22900,124888.0,12-11-2025,Slow-Moving,73
14606-W,LF-HAR-E57,,MODULAR,PLATINUM,910,124868.0,12-11-2025,Slow-Moving,73
22061-G,LD-MEE-019,Status Neon Indicator (Grey) - G,MODULAR,STATUS - GREY ACC,5340,124576.86,23-09-2025,Slow-Moving,123
5600-BK,IN_TRANSIT,,WIRE,TRISAFE+,29,124488.59,12-11-2025,Slow-Moving,73
11118-W,LF-HAR-E57,,MODULAR,STATUS,1520,124395.5,12-11-2025,Slow-Moving,73
16415-CL,LW-GHA-59,Skylight 15W LED Moon Light - CL,LIGHTING,SKYLIGHT LED,165,124383.54999999999,08-10-2025,Slow-Moving,108
17018-CL,IN_TRANSIT,Skylight 18W LED Glitz Frameless Surface Round Panel - CL,LIGHTING,SKYLIGHT LED,568,124206.22,13-11-2025,Slow-Moving,72
MCB-054,LF-DEL-01,"Flexible Cord Wire  -  Common(2.0 Sqmm Copper, L - 40mm, Rating  -  25A, 32A )",MCB,,89,124140.0,06-11-2025,Slow-Moving,79
PK-O-9601,LF-VAS-006,Flat 6A Swt Printed Outer,PACKAGING,,2373,124001.25,30-10-2025,Slow-Moving,86
9506-W,LD-SRI-025,Status Universal Socket 6/16A - W,MODULAR,STATUS,1986,123841.76000000001,14-11-2025,Slow-Moving,71
4376-MW,IN_TRANSIT,,NON-MODULAR,GOLD,955,123753.29,10-11-2025,Slow-Moving,75
B-105,LF-HAR-E57,WAWA 16A Copper Contact,BRASS,,93,123717.58,07-11-2025,Slow-Moving,78
22036-G,LD-MEE-019,Status 3 Pin Socket 6A (Grey) - G,MODULAR,STATUS,6060,123688.9,28-10-2025,Slow-Moving,88
PK-M-012,LF-PAL-A03,PM Cona White Patta with Blue Printed Logo,PACKAGING,,92,123600.0,07-11-2025,Slow-Moving,78
4276-MW,LD-CUT-003,,SUPPORTED,VALUE,17406,123120.0,13-11-2025,Slow-Moving,72
4276-MW,LD-VIJ-027,Novel Plug Top 6A - MW,SUPPORTED,VALUE,15480,123117.84,13-11-2025,Slow-Moving,72
17100-WL,LW-BHI-58,Skylight 100W LED Smart Lens Type Flood Light - WL,LIGHTING,SKYLIGHT LED,155,122987.7,10-10-2025,Slow-Moving,106
10318-W,LF-HAR-E57,,MODULAR,STATUS,810,122954.7,12-11-2025,Slow-Moving,73
5150-WH,IN_TRANSIT,,WIRE,TRISAFE+,140,122781.95999999999,10-11-2025,Slow-Moving,75
9071-MW,LD-JAI-014,Wawa Mini Step Fan Regulator - MW,NON-MODULAR,WAWA,242,122780.88,04-11-2025,Slow-Moving,81
10303-W,IN_TRANSIT,Solo 3M Plate - W,MODULAR,STATUS,5267,122593.49999999999,13-11-2025,Slow-Moving,72
MCB-050,LF-DEL-01,,MCB,,468928,122581.68,12-11-2025,Slow-Moving,73
9386-W,LD-DHA-007,,MODULAR,STATUS,2904,122366.19,12-11-2025,Slow-Moving,73
2516-MW,IN_TRANSIT,Pearl Batten Holder - MW,SUPPORTED,VALUE,8310,122159.26,13-11-2025,Slow-Moving,72
16307-CL,LD-PAT-021,,LIGHTING,SKYLIGHT LED,2480,122141.42,12-11-2025,Slow-Moving,73
10306-W,LD-CEN-003,,MODULAR,STATUS,2290,122134.82999999999,13-11-2025,Slow-Moving,72
1991-MW,LD-RIS-23A,,SUPPORTED,VALUE,3600,122107.4,10-11-2025,Slow-Moving,75
10106-W,IN_TRANSIT,Status MCB 6A SP - W,MODULAR,STATUS,1874,122091.76,13-11-2025,Slow-Moving,72
10116-W,LD-PAT-021,Status MCB 16A SP - W,MODULAR,STATUS,1280,122021.58,10-10-2025,Slow-Moving,106
2391-MW,LF-HAR-E57,,SUPPORTED,VALUE,5200,121980.0,12-11-2025,Slow-Moving,73
MCB-25240,LF-DEL-01,,MCB,,141,121800.0,06-11-2025,Slow-Moving,79
SFG-4346-HAR-MW,LF-HAR-E57,SFG - Lite Combine 6/16A with Box & Ind.,SFG,,33692,121608.0,12-11-2025,Slow-Moving,73
CLWM-14712-P-CD-HAR,LF-HAR-E57,Colour - Platinum Carbon Wood 12M Plate,COLOR WITH MATERIAL,,2117,121471.74,01-09-2025,Slow-Moving,145
2406-MW,LD-COI-006,Deluxe Surface D.P. 32A - MW,NON-MODULAR,GOLD,2043,121454.51999999999,10-11-2025,Slow-Moving,75
16450-WL,LD-GWA-010,Skylight LED Mood Rope Light 120 LED (50mtr) with Connector - WL,LIGHTING,SKYLIGHT LED,66,121391.03,06-11-2025,Slow-Moving,79
5240-W,LD-LUC-017,TripRite R.C.C.B 40A D.P. (30mA) - W,MCB,TRIPRITE MCB,146,121353.6,13-11-2025,Slow-Moving,72
2406-MW,LD-HUB-029,Deluxe Surface D.P. 32A - MW,NON-MODULAR,GOLD,1920,121282.91,13-11-2025,Slow-Moving,72
19071-G,IN_TRANSIT,,MODULAR,ESTELLA,3580,121064.15000000001,13-11-2025,Slow-Moving,72
9621-W,LF-HAR-E57,Status Flat 2 Way Switch 16AX - W,MODULAR,STATUS,2500,120800.0,12-11-2025,Slow-Moving,73
9766-W,LD-LUC-017,Status Step 1 Way Switch 16AX - W,MODULAR,STATUS,3020,120572.8,27-10-2025,Slow-Moving,89
4281-MW,LF-HAR-G1,Novel Plug & Socket 6A - MW,SUPPORTED,VALUE,9010,120213.04000000001,12-11-2025,Slow-Moving,73
10712-W,LD-CEN-003,Axis 12M Plate - W,MODULAR,STATUS,850,120196.86,28-10-2025,Slow-Moving,88
C-226,RAM-628,Porc 63/415 Cutting Part,CUTTING,,1584,120089.5,07-10-2025,Slow-Moving,109
SFG-1219-W,LF-VAS-006,,SFG,,72,120077.28,04-11-2025,Slow-Moving,81
2396-MW,LD-RIS-23A,Ring Batten Holder - MW,SUPPORTED,VALUE,4920,120060.02,17-10-2025,Slow-Moving,99
C-045,LF-HAR-E57,Style Dura Bell Dolly,CUTTING,,200,120051.71,29-10-2025,Slow-Moving,87
4276-MW,LD-COI-006,Novel Plug Top 6A - MW,SUPPORTED,VALUE,15360,119994.12,26-09-2025,Slow-Moving,120
5100-Y,IN_TRANSIT,,WIRE,TRISAFE+,151,119936.0,11-11-2025,Slow-Moving,74
16203-CL,LW-BHI-58,,LIGHTING,SKYLIGHT LED,1930,119935.81999999999,12-11-2025,Slow-Moving,73
21232-W,LF-HAR-E57,Teron MCB 32A DP - W,MODULAR,TERON,200,119812.51,06-10-2025,Slow-Moving,110
9506-W,LD-HUB-029,,MODULAR,STATUS,1890,119586.47,11-11-2025,Slow-Moving,74
23363-W,LD-SRI-025,Assure C - MCB 63A DP - W,MCB,ASSURE MCB,333,119548.36,30-10-2025,Slow-Moving,86
9606-W,LD-LUC-017,Status Flat 2 Way Switch 6AX - W,MODULAR,STATUS,1578,119334.26999999999,24-09-2025,Slow-Moving,122
9576-W,LD-LUC-017,Status Edge Mini Step Fan Reg - W,MODULAR,STATUS,660,119226.72,27-10-2025,Slow-Moving,89
2961-W,LD-CEN-003,Mini Parrot Musical Chime - W,SUPPORTED,VALUE,1020,118923.73999999999,10-10-2025,Slow-Moving,106
2451-W,IN_TRANSIT,,SUPPORTED,ALLIED,29001,118905.0,13-11-2025,Slow-Moving,72
3356-W,LD-CUT-003,,SUPPORTED,VALUE,1280,118756.78,18-10-2025,Slow-Moving,98
POP-081,LF-HAR-E57,PM CONA Regulator Bag,POP,,211,118698.94,06-10-2025,Slow-Moving,110
PK-P-9316,LF-HAR-E57,,PACKAGING,,311240,118499.99,29-10-2025,Slow-Moving,87
5150-R,IN_TRANSIT,,WIRE,TRISAFE+,135,118396.98999999999,11-11-2025,Slow-Moving,74
16409-CLPGB,LD-GWA-010,Skylight 8+8W LED Galaxy Double Colour Concealed Light - CLPGB,LIGHTING,SKYLIGHT LED,855,118198.81999999999,06-11-2025,Slow-Moving,79
14606-W,IN_TRANSIT,Platinum 6M Plate - W,MODULAR,PLATINUM,1996,117971.99,13-11-2025,Slow-Moving,72
10812-NW,LD-RAI-022,Axis 12M Forest Colour Plate - NW,MODULAR,STATUS,190,117953.84,06-11-2025,Slow-Moving,79
9376-W,LD-JAI-014,,MODULAR,STATUS,1182,117859.0,11-11-2025,Slow-Moving,74
9031-MW,LF-HAR-E57,Wawa Kit Kat Fuse 10A - MW,NON-MODULAR,WAWA,1040,117810.0,01-09-2025,Slow-Moving,145
10702-W,IN_TRANSIT,Axis 2M Plate - W,MODULAR,STATUS,3881,117579.09,13-11-2025,Slow-Moving,72
16307-WL,IN_TRANSIT,Skylight 7W LED Galaxy Concealed Light - WL,LIGHTING,SKYLIGHT LED,2313,117376.1,13-11-2025,Slow-Moving,72
16422-CL,IN_TRANSIT,Skylight 22W LED Iris T - 5 - CL,LIGHTING,SKYLIGHT LED,1928,117140.6,12-11-2025,Slow-Moving,73
D-039,LF-VAS-006,Buzzer Circuit,DIMMER,,2508,117000.0,05-11-2025,Slow-Moving,80
10116-W,LD-CUT-003,Status MCB 16A SP - W,MODULAR,STATUS,721,116935.51,18-09-2025,Slow-Moving,128
3261-W,LD-ZIR-028,,SUPPORTED,VALUE,336,116850.93000000001,03-11-2025,Slow-Moving,82
10132-W,LD-CEN-003,,MODULAR,STATUS,1800,116826.61,13-11-2025,Slow-Moving,72
9276-W,LF-HAR-E57,Status Dual 1way Switch 6A,MODULAR,STATUS,3190,116788.5,01-09-2025,Slow-Moving,145
24306-W,LF-DEL-01,Bold DBS 6 Way Double Door TPN - W,MCB,ASSURE MCB,3,116781.84,01-09-2025,Slow-Moving,145
1686-MW,LD-CEN-003,,NON-MODULAR,GOLD,2990,116760.93000000001,13-11-2025,Slow-Moving,72
10709-W,LD-RIS-23A,Axis 8SQM Plate - W,MODULAR,STATUS,1200,116700.31,31-10-2025,Slow-Moving,85
PK-O-9771,LF-HAR-E57,Fresh Modular Angle / Batten Holder Outer,PACKAGING,,4195,116557.68,27-10-2025,Slow-Moving,89
PK-MP-23106,LF-DEL-01,Triprite / Assure MCB Mini Packaging Carton,PACKAGING,,6932,116480.0,10-11-2025,Slow-Moving,75
2071-MW,LD-CEN-003,Glossy Multi Plug 6A with Ind. - MW,SUPPORTED,VALUE,1500,116425.76000000001,30-10-2025,Slow-Moving,86
9251-W,LD-LUC-017,Status 1 Way Switch 6AX - W,MODULAR,STATUS,6410,116366.45,31-10-2025,Slow-Moving,85
17609-CL,LD-LUC-017,,LIGHTING,SKYLIGHT LED,3100,116259.6,31-10-2025,Slow-Moving,85
10718-W,IN_TRANSIT,Axis 18M Plate - W,MODULAR,STATUS,1144,116255.91,11-11-2025,Slow-Moving,74
16050-CL,IN_TRANSIT,Skylight 50W LED Supreme Flood Light - CL,LIGHTING,SKYLIGHT LED,196,116116.89,13-11-2025,Slow-Moving,72
10125-W,LD-LUC-017,Status MCB 25A SP - W,MODULAR,STATUS,1407,116080.54999999999,18-10-2025,Slow-Moving,98
9316-W,LD-RIS-23A,,MODULAR,STATUS,584,115992.36,31-10-2025,Slow-Moving,85
6712-W,IN_TRANSIT,Plastic Surface Box 12M - W,MODULAR,MODULAR BOXES,2232,115777.16,13-11-2025,Slow-Moving,72
22256-CL,LF-HAR-E57,Fresh Modular Foot Lamp (3M/4M) (Grey) - CL,MODULAR,STATUS,960,115507.2,12-11-2025,Slow-Moving,73
C-071,CHE-714,,CUTTING,,5880,115300.0,12-11-2025,Slow-Moving,73
18086-W,LD-PAT-021,Estella Medium Step Regulator - W,MODULAR,ESTELLA,881,115240.44,14-10-2025,Slow-Moving,102
24863-W,IN_TRANSIT,,MCB,ASSURE MCB,120,115045.2,12-11-2025,Slow-Moving,73
9386-W,LD-ZIR-028,,MODULAR,STATUS,3680,114975.57,31-10-2025,Slow-Moving,85
5150-BL,LD-SRI-025,,WIRE,TRISAFE+,80,114875.0,31-10-2025,Slow-Moving,85
4341-W,LF-HAR-G1,Flood Water Alarm Bell - W,SUPPORTED,VALUE,522,114739.98,13-11-2025,Slow-Moving,72
3261-W,LD-LUC-017,Trico Wireless Remote Bell - W,SUPPORTED,VALUE,339,114699.98000000001,27-10-2025,Slow-Moving,89
6802-W,LF-HAR-E57,,MODULAR,MODULAR BOXES,2480,114625.0,12-11-2025,Slow-Moving,73
1986-MW,LW-GHA-59,,SUPPORTED,VALUE,4939,114537.26999999999,05-11-2025,Slow-Moving,80
17620-CL,LD-LUC-017,Skylight 20W LED Lunar High Wattage Bulb - CL,LIGHTING,SKYLIGHT LED,1150,114091.59999999999,27-10-2025,Slow-Moving,89
24725-W,LF-DEL-01,Assure R.C.C.B. 25A D.P. (100mA) - W,MCB,ASSURE MCB,198,113869.8,01-09-2025,Slow-Moving,145
1061-W,LD-CUT-003,,NON-MODULAR,GOLD,16000,113786.86000000002,12-11-2025,Slow-Moving,73
3116-W,LD-JAI-014,TripRite C - MCB 16A SP - W,MCB,TRIPRITE MCB,1948,113775.31,10-11-2025,Slow-Moving,75
5100-GR,LD-SRI-025,,WIRE,TRISAFE+,45,113764.44,27-10-2025,Slow-Moving,89
19096-G,IN_TRANSIT,Estella Blank Plate (Grey) - G,MODULAR,ESTELLA,11085,113494.66,13-11-2025,Slow-Moving,72
14308-MC,LF-HAR-E57,Platinum 8M Hor.Col Plate(PM/RV/MC) - MC,MODULAR,PLATINUM,620,113303.7,01-09-2025,Slow-Moving,145
