Vendor,Total_POs,On_Time_POs,Delayed_POs,On_Time %
JAYESH INDUSTRIES,14.0,10.0,4.0,71.43
JITENDRA YADAY - JW,3.0,3.0,0.0,100.0
JP Engineering Works,1.0,1.0,0.0,100.0
JR Engineers,1.0,0.0,1.0,0.0
Jitender plastic,6.0,1.0,5.0,16.67
K.P.ENTERPRISES,7.0,3.0,4.0,42.86
K.R.Industries,5.0,3.0,2.0,60.0
KALA ENTERPRISES,3.0,0.0,3.0,0.0
KANKAI ENTERPRISES,23.0,9.0,14.0,39.13
KANVAS HOME PRODUCTS,1.0,1.0,0.0,100.0
KARAN CABLE INDUSTRIES,4.0,0.0,4.0,0.0
KASAT PLASTIC,22.0,19.0,3.0,86.36
KGK JET INDIA PRIVATE LIMITED,4.0,4.0,0.0,100.0
KHUSHAL FASTENERS,2.0,1.0,1.0,50.0
KHUSHI MULTIPACK SOLUTIONS LLP,6.0,3.0,3.0,50.0
KINJAL ENGINEERING WORKS,10.0,10.0,0.0,100.0
KINJAL PLAST COLOURS,3.0,2.0,1.0,66.67
KMUNOTAG PRIVATE LIMITED,3.0,2.0,1.0,66.67
KOEL SYSTEMS,1.0,0.0,1.0,0.0
KONNARK POLYMER PRIVATE LIMITED,3.0,0.0,3.0,0.0
KRIMCO INDUSTRIES PVT LTD,3.0,1.0,2.0,33.33
KUTUMBHA BAHADUR KUSHWAHA - JW,2.0,2.0,0.0,100.0
Khushbu,12.0,10.0,2.0,83.33
Khyati Enterprise,4.0,3.0,1.0,75.0
Krisel polymers,5.0,4.0,1.0,80.0
Kuloday Compu Forms,7.0,4.0,3.0,57.14
Kurz India Pvt. Ltd.,5.0,4.0,1.0,80.0
LALIT ENTERPRISES,8.0,2.0,6.0,25.0
LALIT TEST EQUIPMENTS,1.0,0.0,1.0,0.0
LAXMI VINAYAK GAIKWAD,5.0,1.0,4.0,20.0
LEMONLITE,2.0,1.0,1.0,50.0
LIBESH ENGINEERING WORKS,1.0,1.0,0.0,100.0
LIBRA PLASTICS,5.0,5.0,0.0,100.0
LOKESH ENTERPRISES,2.0,2.0,0.0,100.0
Leo Electrical and Electronic Corporation,1.0,1.0,0.0,100.0
Leo Graphics ,1.0,1.0,0.0,100.0
Lightronics Electro Components Pvt Ltd,2.0,1.0,1.0,50.0
LincLite Power Controls,6.0,0.0,6.0,0.0
Lumirise Private Limited,3.0,0.0,3.0,0.0
M K Plastics,1.0,0.0,1.0,0.0
M M ADVERTISING AGENCY,1.0,1.0,0.0,100.0
M.R.ELECTRONICS,2.0,0.0,2.0,0.0
M.R.ENGINEERING,3.0,0.0,3.0,0.0
MAA NARAYANI CREATION,4.0,0.0,4.0,0.0
MAHAVIR COMPUTER STATIONERY & XEROX,10.0,10.0,0.0,100.0
MAHAVIR COMPUTER STATIONERY and XEROX,12.0,11.0,1.0,91.67
MAHAVIR TRADERS,6.0,3.0,3.0,50.0
MANJESH,152.0,152.0,0.0,100.0
MEHTA AND COMPANY,5.0,4.0,1.0,80.0
MELCON PLASTICS,12.0,9.0,3.0,75.0
MIRAJ ENTERPRISE,8.0,6.0,2.0,75.0
MIREN ENTERPRISE,1.0,0.0,1.0,0.0
MODERN ENGINEERING & SPRING COMPANY,7.0,4.0,3.0,57.14
MOHINI GAIKWAD,8.0,7.0,1.0,87.5
MOKSH TRADING CO,7.0,4.0,3.0,57.14
MORYA ENTERPRISES,10.0,8.0,2.0,80.0
MUKTA PACKAGING,6.0,2.0,4.0,33.33
Magic Retail Ventures Pvt. Ltd.,1.0,0.0,1.0,0.0
Manoj Enterprises,14.0,12.0,2.0,85.71
Manoj Patel - JW,15.0,8.0,7.0,53.33
Matrix Technologies,5.0,1.0,4.0,20.0
Mohit Enterprises,41.0,36.0,5.0,87.8
Mukund Jain enterprises,2.0,1.0,1.0,50.0
NAVKAR ELECTRICALS,10.0,5.0,5.0,50.0
NECTAR BRASS INDUSTRIES,23.0,18.0,5.0,78.26
NEELANJ BUSINESS SOLUTION LLP,2.0,1.0,1.0,50.0
NEO PACK (INDIA),5.0,5.0,0.0,100.0
NEO TECH SOLUTIONS,1.0,0.0,1.0,0.0
NEW SANGAM SPRINGS,10.0,10.0,0.0,100.0
NILKAMAL LIMITED (Silvassa),3.0,2.0,1.0,66.67
NIRANJAN DEORAS PRODUCTIONS,1.0,0.0,1.0,0.0
NISSAN ADVERTISING CO.,2.0,1.0,1.0,50.0
