Item_No,Description,Location Code,Stock_Qty,Status
PK-I-1621,No Description,LF-AND-28,15082,"< 50,000"
PK-I-1621,No Description,LF-SIL-017,31104,"< 50,000"
PK-I-1686,Gold 16A Soc Inner,LF-HAR-E57,21000,"< 50,000"
PK-I-1686,Gold 16A Soc Inner,LF-SIL-017,20740,"< 50,000"
PK-I-1686,No Description,LF-SIL-017,9000,"< 50,000"
PK-I-1831,Gold Ind Inner,LF-SIL-017,18000,"< 50,000"
PK-I-1831,No Description,LF-SIL-017,100,"< 50,000"
PK-I-1861,Gold KK Inner,LF-SIL-017,8900,"< 50,000"
PK-I-1861,No Description,LF-SIL-017,100,"< 50,000"
PK-I-1916,No Description,LF-SIL-017,11200,"< 50,000"
PK-I-1926,No Description,LF-SIL-017,18800,"< 50,000"
PK-I-1936,No Description,LF-SIL-017,4141,"< 50,000"
PK-I-1936,Porc KK 63/415 Inner,LF-SIL-017,5919,"< 50,000"
PK-I-1951,No Description,LF-HAR-E57,16800,"< 50,000"
PK-I-1961,No Description,LF-HAR-E57,21000,"< 50,000"
PK-I-1971,No Description,LF-SIL-017,295,"< 50,000"
PK-I-1971,Sonic 16A Plug Top Inner,LF-SIL-017,76,"< 50,000"
PK-I-1986,Dlx 6A Top Inner,LF-SIL-017,1604,"< 50,000"
PK-I-1986,No Description,LF-AND-28,32279,"< 50,000"
PK-I-1986,No Description,LF-SIL-017,47937,"< 50,000"
PK-I-1991,No Description,LF-AND-28,20829,"< 50,000"
PK-I-1991,No Description,LF-SIL-017,17475,"< 50,000"
PK-I-2191,No Description,LF-SIL-017,25000,"< 50,000"
PK-I-2191,Single Adapter Inner,LF-SIL-017,12114,"< 50,000"
PK-I-2211,Gold 4x1 Box Inner,LF-SIL-017,6237,"< 50,000"
PK-I-2246,No Description,LF-AND-28,5380,"< 50,000"
PK-I-2251,Gold 3x1 Box Inner,LF-HAR-E57,28823,"< 50,000"
PK-I-2251,Gold 3x1 Box Inner,LF-SIL-017,16315,"< 50,000"
PK-I-2251,No Description,LF-AND-28,18441,"< 50,000"
PK-I-2251,No Description,LF-SIL-017,6075,"< 50,000"
PK-I-23106,Assure MCB SP Inner,LF-DEL-01,8232,"< 50,000"
PK-I-23206,Assure MCB SPN Inner,LF-DEL-01,5346,"< 50,000"
PK-I-23206,No Description,LF-DEL-01,12090,"< 50,000"
PK-I-23306,Assure MCB DP Inner,LF-DEL-01,17408,"< 50,000"
PK-I-23406,Assure MCB TP Inner,LF-DEL-01,2380,"< 50,000"
PK-I-23506,Assure MCB TPN Inner,LF-DEL-01,5337,"< 50,000"
PK-I-2351,No Description,LF-AND-28,3150,"< 50,000"
PK-I-2351,No Description,LF-SIL-017,50,"< 50,000"
PK-I-2356,Gold 5x1 Box Inner,LF-AND-28,5370,"< 50,000"
PK-I-2356,Gold 5x1 Box Inner,LF-SIL-017,645,"< 50,000"
PK-I-2356,No Description,LF-AND-28,5000,"< 50,000"
PK-I-2356,No Description,LF-SIL-017,10000,"< 50,000"
PK-I-23606,Assure MCB FP Inner,LF-DEL-01,3357,"< 50,000"
PK-I-2376,Tiny DP Inner,LF-AND-28,2420,"< 50,000"
PK-I-2401,Eco DP Inner,LF-HAR-E57,5700,"< 50,000"
PK-I-2406,No Description,LF-AND-28,7446,"< 50,000"
PK-I-2406,No Description,LF-SIL-017,8430,"< 50,000"
PK-I-24725,RCCB DP Inner For Assure,LF-DEL-01,9079,"< 50,000"
PK-I-24840,RCCB FP Inner For Assure,LF-DEL-01,2771,"< 50,000"
PK-I-25225,Assure Changeover DP Inner,LF-DEL-01,7354,"< 50,000"
PK-I-25425,Changeover FP Inner For Assure,LF-DEL-01,2800,"< 50,000"
PK-I-2711,MCB 4x1 Box Inner,LF-HAR-E57,8400,"< 50,000"
PK-I-3051,Surf Dim 400W / Surface Step Reg Inner,LF-AND-28,600,"< 50,000"
PK-I-3076,Big Boss 400W / 600W Inner,LF-AND-28,2690,"< 50,000"
PK-I-3086,Metal 1000W / 2000W Inner,LF-AND-28,2670,"< 50,000"
PK-I-3106,No Description,LF-DEL-01,50400,"50,000 - 200,000"
PK-I-3106,Triprite MCB SP Inner,LF-DEL-01,25727,"< 50,000"
PK-I-3196,Gold Mini Dim Inner,LF-SIL-017,9600,"< 50,000"
PK-I-3196,No Description,LF-SIL-017,25600,"< 50,000"
PK-I-3206,Triprite MCB DP Inner,LF-DEL-01,3838,"< 50,000"
PK-I-3306,Triprite MCB TP Inner,LF-DEL-01,7945,"< 50,000"
PK-I-3406,No Description,LF-DEL-01,32,"< 50,000"
PK-I-3406,Triprite MCB FP Inner,LF-DEL-01,2758,"< 50,000"
PK-I-3506,Triprite MCB SPN Inner,LF-DEL-01,15260,"< 50,000"
PK-I-3606,Triprite MCB TPN Inner,LF-DEL-01,1727,"< 50,000"
PK-I-4096,Slim MCB SP Inner,LF-HAR-E57,9800,"< 50,000"
PK-I-4291,DC 6A With Box Inner,LF-AND-28,790,"< 50,000"
PK-I-4291,No Description,LF-AND-28,4525,"< 50,000"
PK-I-4296,No Description,LF-AND-28,7921,"< 50,000"
PK-I-4296,No Description,LF-SIL-017,5785,"< 50,000"
PK-I-4306,MCB Surf DP Inner,LF-HAR-E57,3990,"< 50,000"
PK-I-4346,Lite 3*1 Combine Inner,LF-HAR-E57,47271,"< 50,000"
PK-I-4366,No Description,IN_TRANSIT,3100,"< 50,000"
PK-I-4366,No Description,LF-SIL-017,400,"< 50,000"
PK-I-4371,Lite 6A Double Combine Box Inner,LF-SIL-017,36,"< 50,000"
PK-I-4371,No Description,IN_TRANSIT,4100,"< 50,000"
PK-I-4376,No Description,LF-HAR-E57,1000,"< 50,000"
PK-I-4381,Lite Combine 6/16A with Box Inner,LF-SIL-017,17378,"< 50,000"
PK-I-4381,No Description,LF-SIL-017,19911,"< 50,000"
PK-I-4625,No Description,LF-DEL-01,19618,"< 50,000"
PK-I-4740,Changeover FP Inner For Triprite,LF-DEL-01,7187,"< 50,000"
PK-I-5075,TriSafe+ Wire 0.75mm Inner,LF-HAR-E57,1650,"< 50,000"
PK-I-5100,TriSafe+ Wire 1mm Inner,LF-HAR-E57,1000,"< 50,000"
PK-I-5150,TriSafe+ Wire 1.5mm Inner,LF-HAR-E57,2430,"< 50,000"
PK-I-5225,RCCB DP Inner For Triprite,LF-DEL-01,7363,"< 50,000"
PK-I-5250,TriSafe+ Wire 2.5mm Inner,LF-HAR-E57,1225,"< 50,000"
PK-I-5540,RCCB FP Inner For Triprite,LF-DEL-01,12000,"< 50,000"
PK-I-5600,TriSafe+ Wire 6mm Inner,LF-HAR-E57,141,"< 50,000"
PK-I-7061,Style Med Dimmer Inner,LF-HAR-E57,25000,"< 50,000"
PK-I-7075,Eco - FR 075mm Wire 90mtr Inner,LF-HAR-E57,2355,"< 50,000"
PK-I-7100,Eco - FR 100mm Wire 90mtr Inner,LF-HAR-E57,2611,"< 50,000"
PK-I-7150,Eco - FR 150mm Wire 90mtr Inner,LF-HAR-E57,2826,"< 50,000"
PK-I-7400,Eco - FR 400mm Wire 90mtr Inner,LF-HAR-E57,150,"< 50,000"
PK-I-7600,Eco - FR 600mm Wire 90mtr Inner,LF-HAR-E57,292,"< 50,000"
PK-I-9001,No Description,LF-HAR-E57,73620,"50,000 - 200,000"
PK-I-9001,No Description,LF-SIL-017,25780,"< 50,000"
PK-I-9016,No Description,LF-HAR-E57,14820,"< 50,000"
PK-I-9016,No Description,LF-SIL-017,9106,"< 50,000"
PK-I-9016,Wawa 3pin Socket Inner,LF-SIL-017,6324,"< 50,000"
PK-I-9146,No Description,LF-HAR-E57,14680,"< 50,000"
PK-I-9216,No Description,LF-HAR-E57,10000,"< 50,000"
PK-I-9226,Wawa 3x1 Inner,LF-HAR-E57,4500,"< 50,000"
PK-I-9236,No Description,LF-HAR-E57,4825,"< 50,000"
