SO_No,SO_Date,Completely_Shipped,Shipment_Status
SO/AND/26/00105,2025-07-30,1,Fully Shipped
SO/AND/26/00106,2025-07-30,1,Fully Shipped
SO/AND/26/00107,2025-07-30,1,Fully Shipped
SO/AND/26/00108,2025-07-31,1,Fully Shipped
SO/AND/26/00109,2025-07-31,1,Fully Shipped
SO/AND/26/00110,2025-07-31,1,Fully Shipped
SO/AND/26/00111,2025-07-31,1,Fully Shipped
SO/AND/26/00112,2025-07-31,1,Fully Shipped
SO/AND/26/00113,2025-07-31,1,Fully Shipped
SO/AND/26/00114,2025-07-31,0,Not Shipped
SO/AND/26/00115,2025-07-31,1,Fully Shipped
SO/AND/26/00116,2025-07-31,1,Fully Shipped
SO/AND/26/00117,2025-07-31,1,Fully Shipped
SO/AND/26/00118,2025-07-31,1,Fully Shipped
SO/AND/26/00119,2025-07-31,1,Fully Shipped
SO/AND/26/00120,2025-07-31,1,Fully Shipped
SO/AND/26/00121,2025-07-31,1,Fully Shipped
SO/AND/26/00123,2025-08-05,1,Fully Shipped
SO/AND/26/00124,2025-08-06,1,Fully Shipped
SO/AND/26/00125,2025-08-06,1,Fully Shipped
SO/AND/26/00126,2025-08-06,1,Fully Shipped
SO/AND/26/00127,2025-08-07,1,Fully Shipped
SO/AND/26/00128,2025-08-08,1,Fully Shipped
SO/AND/26/00129,2025-08-11,1,Fully Shipped
SO/AND/26/00130,2025-08-11,0,Not Shipped
SO/AND/26/00131,2025-08-11,1,Fully Shipped
SO/AND/26/00132,2025-08-13,1,Fully Shipped
SO/AND/26/00133,2025-08-13,1,Fully Shipped
SO/AND/26/00134,2025-08-20,0,Not Shipped
SO/AND/26/00135,2025-08-14,1,Fully Shipped
SO/AND/26/00136,2025-08-18,1,Fully Shipped
SO/AND/26/00137,2025-08-18,1,Fully Shipped
SO/AND/26/00138,2025-08-18,1,Fully Shipped
SO/AND/26/00139,2025-08-25,0,Not Shipped
SO/AND/26/00140,2025-08-18,1,Fully Shipped
SO/AND/26/00141,2025-08-18,1,Fully Shipped
SO/AND/26/00142,2025-08-18,1,Fully Shipped
SO/AND/26/00143,2025-08-20,1,Fully Shipped
SO/AND/26/00144,2025-08-20,1,Fully Shipped
SO/AND/26/00145,2025-08-20,1,Fully Shipped
SO/AND/26/00146,2025-08-20,0,Not Shipped
SO/AND/26/00147,2025-08-20,1,Fully Shipped
SO/AND/26/00148,2025-08-20,1,Fully Shipped
SO/AND/26/00149,2025-08-21,1,Fully Shipped
SO/AND/26/00150,2025-08-21,1,Fully Shipped
SO/AND/26/00151,2025-08-22,1,Fully Shipped
SO/AND/26/00152,2025-08-22,1,Fully Shipped
SO/AND/26/00153,2025-08-22,1,Fully Shipped
SO/AND/26/00154,2025-08-22,1,Fully Shipped
