SO_No,SO_Date,Completely_Shipped,Shipment_Status
SO/CUT1/26/01020,2025-07-15,1,Fully Shipped
SO/CUT1/26/01021,2025-07-15,0,Not Shipped
SO/CUT1/26/01022,2025-07-15,1,Fully Shipped
SO/CUT1/26/01023,2025-07-15,1,Fully Shipped
SO/CUT1/26/01024,2025-07-15,1,Fully Shipped
SO/CUT1/26/01025,2025-07-15,1,Fully Shipped
SO/CUT1/26/01026,2025-07-15,1,Fully Shipped
SO/CUT1/26/01027,2025-07-15,1,Fully Shipped
SO/CUT1/26/01028,2025-07-15,1,Fully Shipped
SO/CUT1/26/01029,2025-07-15,1,Fully Shipped
SO/CUT1/26/01030,2025-07-15,1,Fully Shipped
SO/CUT1/26/01031,2025-07-15,1,Fully Shipped
SO/CUT1/26/01032,2025-07-15,1,Fully Shipped
SO/CUT1/26/01033,2025-07-15,1,Fully Shipped
SO/CUT1/26/01034,2025-07-15,1,Fully Shipped
SO/CUT1/26/01035,2025-07-15,1,Fully Shipped
SO/CUT1/26/01036,2025-07-15,1,Fully Shipped
SO/CUT1/26/01037,2025-07-15,1,Fully Shipped
SO/CUT1/26/01038,2025-07-15,1,Fully Shipped
SO/CUT1/26/01039,2025-07-15,1,Fully Shipped
SO/CUT1/26/01040,2025-07-15,1,Fully Shipped
SO/CUT1/26/01041,2025-07-15,1,Fully Shipped
SO/CUT1/26/01042,2025-07-15,1,Fully Shipped
SO/CUT1/26/01043,2025-07-15,1,Fully Shipped
SO/CUT1/26/01044,2025-07-15,1,Fully Shipped
SO/CUT1/26/01045,2025-07-15,1,Fully Shipped
SO/CUT1/26/01046,2025-07-15,0,Not Shipped
SO/CUT1/26/01047,2025-07-15,1,Fully Shipped
SO/CUT1/26/01048,2025-07-15,1,Fully Shipped
SO/CUT1/26/01049,2025-07-15,1,Fully Shipped
SO/CUT1/26/01050,2025-07-15,1,Fully Shipped
SO/CUT1/26/01051,2025-07-15,1,Fully Shipped
SO/CUT1/26/01052,2025-07-15,1,Fully Shipped
SO/CUT1/26/01053,2025-07-15,1,Fully Shipped
SO/CUT1/26/01054,2025-07-15,1,Fully Shipped
SO/CUT1/26/01055,2025-07-15,1,Fully Shipped
SO/CUT1/26/01056,2025-07-15,1,Fully Shipped
SO/CUT1/26/01057,2025-07-15,1,Fully Shipped
SO/CUT1/26/01058,2025-07-15,1,Fully Shipped
SO/CUT1/26/01059,2025-07-15,1,Fully Shipped
SO/CUT1/26/01060,2025-07-15,1,Fully Shipped
SO/CUT1/26/01061,2025-07-15,1,Fully Shipped
SO/CUT1/26/01062,2025-07-15,1,Fully Shipped
SO/CUT1/26/01063,2025-07-15,1,Fully Shipped
SO/CUT1/26/01064,2025-07-15,1,Fully Shipped
SO/CUT1/26/01065,2025-07-15,1,Fully Shipped
SO/CUT1/26/01066,2025-07-15,1,Fully Shipped
SO/CUT1/26/01067,2025-07-15,1,Fully Shipped
SO/CUT1/26/01068,2025-07-15,1,Fully Shipped
SO/CUT1/26/01069,2025-07-15,0,Not Shipped
SO/CUT1/26/01070,2025-07-15,1,Fully Shipped
SO/CUT1/26/01071,2025-07-15,1,Fully Shipped
SO/CUT1/26/01072,2025-07-15,1,Fully Shipped
SO/CUT1/26/01073,2025-07-15,1,Fully Shipped
SO/CUT1/26/01074,2025-07-15,1,Fully Shipped
SO/CUT1/26/01075,2025-07-15,1,Fully Shipped
SO/CUT1/26/01076,2025-07-15,1,Fully Shipped
SO/CUT1/26/01077,2025-07-15,1,Fully Shipped
SO/CUT1/26/01078,2025-07-15,1,Fully Shipped
SO/CUT1/26/01079,2025-07-15,1,Fully Shipped
SO/CUT1/26/01080,2025-07-15,1,Fully Shipped
SO/CUT1/26/01081,2025-07-15,1,Fully Shipped
SO/CUT1/26/01082,2025-07-15,1,Fully Shipped
SO/CUT1/26/01083,2025-07-15,1,Fully Shipped
SO/CUT1/26/01084,2025-07-15,0,Not Shipped
SO/CUT1/26/01085,2025-07-15,1,Fully Shipped
SO/CUT1/26/01086,2025-07-15,1,Fully Shipped
SO/CUT1/26/01087,2025-07-15,1,Fully Shipped
SO/CUT1/26/01088,2025-07-15,1,Fully Shipped
SO/CUT1/26/01089,2025-07-15,1,Fully Shipped
SO/CUT1/26/01090,2025-07-15,1,Fully Shipped
SO/CUT1/26/01091,2025-07-15,1,Fully Shipped
SO/CUT1/26/01092,2025-07-15,1,Fully Shipped
SO/CUT1/26/01093,2025-07-15,1,Fully Shipped
SO/CUT1/26/01094,2025-07-15,1,Fully Shipped
SO/CUT1/26/01095,2025-07-15,1,Fully Shipped
SO/CUT1/26/01096,2025-07-15,1,Fully Shipped
SO/CUT1/26/01097,2025-07-15,1,Fully Shipped
SO/CUT1/26/01098,2025-07-15,1,Fully Shipped
SO/CUT1/26/01099,2025-07-15,1,Fully Shipped
SO/CUT1/26/01100,2025-07-16,1,Fully Shipped
SO/CUT1/26/01101,2025-07-16,1,Fully Shipped
SO/CUT1/26/01102,2025-07-16,1,Fully Shipped
SO/CUT1/26/01103,2025-07-16,1,Fully Shipped
SO/CUT1/26/01104,2025-07-16,1,Fully Shipped
SO/CUT1/26/01106,2025-07-22,1,Fully Shipped
SO/CUT1/26/01108,2025-07-18,1,Fully Shipped
SO/CUT1/26/01109,2025-07-19,1,Fully Shipped
SO/CUT1/26/01110,2025-07-19,1,Fully Shipped
SO/CUT1/26/01111,2025-07-19,1,Fully Shipped
SO/CUT1/26/01112,2025-07-19,1,Fully Shipped
SO/CUT1/26/01113,2025-07-19,1,Fully Shipped
SO/CUT1/26/01114,2025-07-21,1,Fully Shipped
SO/CUT1/26/01115,2025-07-21,1,Fully Shipped
SO/CUT1/26/01116,2025-07-21,1,Fully Shipped
SO/CUT1/26/01117,2025-07-21,1,Fully Shipped
SO/CUT1/26/01118,2025-07-21,1,Fully Shipped
SO/CUT1/26/01119,2025-07-23,1,Fully Shipped
SO/CUT1/26/01120,2025-07-23,1,Fully Shipped
SO/CUT1/26/01121,2025-07-23,1,Fully Shipped
SO/CUT1/26/01122,2025-07-24,1,Fully Shipped
SO/CUT1/26/01123,2025-07-24,1,Fully Shipped
SO/CUT1/26/01124,2025-07-24,1,Fully Shipped
SO/CUT1/26/01125,2025-07-24,1,Fully Shipped
SO/CUT1/26/01126,2025-07-24,1,Fully Shipped
SO/CUT1/26/01127,2025-07-24,1,Fully Shipped
SO/CUT1/26/01129,2025-07-24,1,Fully Shipped
SO/CUT1/26/01130,2025-07-25,1,Fully Shipped
SO/CUT1/26/01131,2025-07-25,1,Fully Shipped
SO/CUT1/26/01132,2025-07-25,1,Fully Shipped
SO/CUT1/26/01133,2025-07-25,1,Fully Shipped
SO/CUT1/26/01134,2025-07-25,1,Fully Shipped
SO/CUT1/26/01135,2025-07-25,1,Fully Shipped
SO/CUT1/26/01136,2025-07-26,1,Fully Shipped
SO/CUT1/26/01137,2025-07-26,1,Fully Shipped
SO/CUT1/26/01138,2025-07-26,1,Fully Shipped
SO/CUT1/26/01139,2025-07-26,1,Fully Shipped
SO/CUT1/26/01140,2025-07-22,1,Fully Shipped
SO/CUT1/26/01141,2025-07-26,1,Fully Shipped
SO/CUT1/26/01142,2025-07-26,1,Fully Shipped
SO/CUT1/26/01144,2025-07-26,1,Fully Shipped
SO/CUT1/26/01145,2025-07-26,1,Fully Shipped
SO/CUT1/26/01146,2025-07-26,1,Fully Shipped
SO/CUT1/26/01148,2025-07-26,1,Fully Shipped
SO/CUT1/26/01149,2025-07-26,1,Fully Shipped
SO/CUT1/26/01150,2025-07-28,1,Fully Shipped
SO/CUT1/26/01151,2025-07-29,1,Fully Shipped
SO/CUT1/26/01152,2025-07-29,1,Fully Shipped
SO/CUT1/26/01153,2025-07-29,1,Fully Shipped
SO/CUT1/26/01154,2025-07-31,1,Fully Shipped
SO/CUT1/26/01155,2025-07-31,1,Fully Shipped
SO/CUT1/26/01156,2025-07-31,1,Fully Shipped
SO/CUT1/26/01157,2025-07-31,1,Fully Shipped
SO/CUT1/26/01158,2025-07-31,1,Fully Shipped
SO/CUT1/26/01159,2025-07-31,1,Fully Shipped
SO/CUT1/26/01160,2025-07-31,1,Fully Shipped
SO/CUT1/26/01161,2025-07-31,1,Fully Shipped
SO/CUT1/26/01162,2025-07-31,1,Fully Shipped
SO/CUT1/26/01163,2025-07-31,1,Fully Shipped
SO/CUT1/26/01164,2025-07-31,1,Fully Shipped
SO/CUT1/26/01165,2025-07-31,1,Fully Shipped
SO/CUT1/26/01166,2025-07-31,1,Fully Shipped
SO/CUT1/26/01168,2025-07-31,1,Fully Shipped
SO/CUT1/26/01169,2025-07-31,1,Fully Shipped
SO/CUT1/26/01170,2025-07-31,1,Fully Shipped
SO/CUT1/26/01171,2025-07-31,1,Fully Shipped
SO/CUT1/26/01172,2025-07-31,1,Fully Shipped
SO/CUT1/26/01173,2025-07-31,1,Fully Shipped
SO/CUT1/26/01174,2025-07-31,1,Fully Shipped
SO/CUT1/26/01175,2025-07-31,0,Not Shipped
SO/CUT1/26/01176,2025-07-31,1,Fully Shipped
SO/CUT1/26/01177,2025-07-31,1,Fully Shipped
SO/CUT1/26/01178,2025-07-31,1,Fully Shipped
SO/CUT1/26/01179,2025-07-31,1,Fully Shipped
SO/CUT1/26/01180,2025-07-31,1,Fully Shipped
SO/CUT1/26/01181,2025-07-31,1,Fully Shipped
SO/CUT1/26/01182,2025-07-31,1,Fully Shipped
SO/CUT1/26/01183,2025-07-31,1,Fully Shipped
SO/CUT1/26/01184,2025-07-31,1,Fully Shipped
SO/CUT1/26/01185,2025-07-26,1,Fully Shipped
SO/CUT1/26/01186,2025-07-31,1,Fully Shipped
SO/CUT1/26/01188,2025-07-31,1,Fully Shipped
SO/CUT1/26/01189,2025-07-31,1,Fully Shipped
SO/CUT1/26/01190,2025-07-31,1,Fully Shipped
SO/CUT1/26/01191,2025-07-31,1,Fully Shipped
SO/CUT1/26/01192,2025-07-31,1,Fully Shipped
SO/CUT1/26/01193,2025-07-31,1,Fully Shipped
SO/CUT1/26/01194,2025-07-31,1,Fully Shipped
SO/CUT1/26/01195,2025-07-31,1,Fully Shipped
SO/CUT1/26/01196,2025-07-31,1,Fully Shipped
SO/CUT1/26/01197,2025-07-31,1,Fully Shipped
SO/CUT1/26/01198,2025-07-31,0,Not Shipped
SO/CUT1/26/01199,2025-07-31,1,Fully Shipped
SO/CUT1/26/01200,2025-08-02,1,Fully Shipped
SO/CUT1/26/01201,2025-08-05,1,Fully Shipped
SO/CUT1/26/01202,2025-08-05,1,Fully Shipped
SO/CUT1/26/01203,2025-08-05,1,Fully Shipped
SO/CUT1/26/01204,2025-08-05,1,Fully Shipped
SO/CUT1/26/01205,2025-08-05,1,Fully Shipped
SO/CUT1/26/01206,2025-08-05,1,Fully Shipped
SO/CUT1/26/01207,2025-08-08,1,Fully Shipped
SO/CUT1/26/01208,2025-08-08,1,Fully Shipped
SO/CUT1/26/01209,2025-08-08,1,Fully Shipped
SO/CUT1/26/01210,2025-08-08,1,Fully Shipped
SO/CUT1/26/01211,2025-08-11,1,Fully Shipped
SO/CUT1/26/01212,2025-08-11,1,Fully Shipped
SO/CUT1/26/01213,2025-08-11,1,Fully Shipped
SO/CUT1/26/01214,2025-08-11,1,Fully Shipped
SO/CUT1/26/01215,2025-08-11,1,Fully Shipped
SO/CUT1/26/01216,2025-08-08,1,Fully Shipped
SO/CUT1/26/01217,2025-08-12,1,Fully Shipped
SO/CUT1/26/01218,2025-08-12,1,Fully Shipped
SO/CUT1/26/01219,2025-08-12,1,Fully Shipped
SO/CUT1/26/01220,2025-08-12,1,Fully Shipped
SO/CUT1/26/01221,2025-08-12,1,Fully Shipped
SO/CUT1/26/01222,2025-08-12,1,Fully Shipped
SO/CUT1/26/01223,2025-08-12,1,Fully Shipped
SO/CUT1/26/01224,2025-08-13,1,Fully Shipped
SO/CUT1/26/01225,2025-08-13,1,Fully Shipped
SO/CUT1/26/01226,2025-08-13,1,Fully Shipped
SO/CUT1/26/01227,2025-08-13,1,Fully Shipped
SO/CUT1/26/01228,2025-08-13,1,Fully Shipped
SO/CUT1/26/01229,2025-08-13,1,Fully Shipped
SO/CUT1/26/01230,2025-08-13,1,Fully Shipped
SO/CUT1/26/01231,2025-08-14,1,Fully Shipped
SO/CUT1/26/01232,2025-08-14,1,Fully Shipped
SO/CUT1/26/01233,2025-08-14,1,Fully Shipped
SO/CUT1/26/01234,2025-08-14,1,Fully Shipped
SO/CUT1/26/01235,2025-08-14,1,Fully Shipped
SO/CUT1/26/01236,2025-08-14,1,Fully Shipped
SO/CUT1/26/01237,2025-08-14,0,Not Shipped
SO/CUT1/26/01238,2025-08-14,1,Fully Shipped
SO/CUT1/26/01239,2025-08-14,1,Fully Shipped
SO/CUT1/26/01240,2025-08-14,1,Fully Shipped
SO/CUT1/26/01241,2025-08-14,1,Fully Shipped
SO/CUT1/26/01242,2025-08-14,1,Fully Shipped
SO/CUT1/26/01243,2025-08-16,1,Fully Shipped
SO/CUT1/26/01244,2025-08-16,1,Fully Shipped
SO/CUT1/26/01245,2025-08-16,1,Fully Shipped
SO/CUT1/26/01246,2025-08-16,1,Fully Shipped
SO/CUT1/26/01247,2025-08-14,1,Fully Shipped
SO/CUT1/26/01248,2025-08-16,1,Fully Shipped
SO/CUT1/26/01249,2025-08-14,1,Fully Shipped
SO/CUT1/26/01250,2025-08-12,1,Fully Shipped
SO/CUT1/26/01251,2025-08-16,1,Fully Shipped
SO/CUT1/26/01252,2025-08-18,1,Fully Shipped
SO/CUT1/26/01253,2025-08-18,1,Fully Shipped
SO/CUT1/26/01254,2025-08-18,1,Fully Shipped
SO/CUT1/26/01255,2025-08-18,1,Fully Shipped
SO/CUT1/26/01256,2025-08-18,1,Fully Shipped
SO/CUT1/26/01257,2025-08-18,1,Fully Shipped
SO/CUT1/26/01258,2025-08-18,1,Fully Shipped
SO/CUT1/26/01259,2025-08-18,1,Fully Shipped
SO/CUT1/26/01260,2025-08-18,1,Fully Shipped
SO/CUT1/26/01261,2025-08-19,1,Fully Shipped
SO/CUT1/26/01262,2025-08-19,1,Fully Shipped
SO/CUT1/26/01263,2025-08-19,1,Fully Shipped
SO/CUT1/26/01264,2025-08-19,1,Fully Shipped
SO/CUT1/26/01265,2025-08-19,1,Fully Shipped
SO/CUT1/26/01266,2025-08-19,1,Fully Shipped
SO/CUT1/26/01267,2025-08-19,1,Fully Shipped
SO/CUT1/26/01268,2025-08-19,1,Fully Shipped
SO/CUT1/26/01269,2025-08-19,1,Fully Shipped
SO/CUT1/26/01270,2025-08-19,1,Fully Shipped
SO/CUT1/26/01271,2025-08-19,1,Fully Shipped
SO/CUT1/26/01272,2025-08-19,1,Fully Shipped
SO/CUT1/26/01273,2025-08-19,1,Fully Shipped
SO/CUT1/26/01274,2025-08-19,1,Fully Shipped
SO/CUT1/26/01275,2025-08-19,0,Not Shipped
SO/CUT1/26/01276,2025-08-19,1,Fully Shipped
SO/CUT1/26/01277,2025-08-19,1,Fully Shipped
SO/CUT1/26/01278,2025-08-19,1,Fully Shipped
SO/CUT1/26/01279,2025-08-19,1,Fully Shipped
SO/CUT1/26/01280,2025-08-19,1,Fully Shipped
SO/CUT1/26/01281,2025-08-19,1,Fully Shipped
SO/CUT1/26/01282,2025-08-19,1,Fully Shipped
SO/CUT1/26/01283,2025-08-19,1,Fully Shipped
SO/CUT1/26/01284,2025-08-19,1,Fully Shipped
SO/CUT1/26/01285,2025-08-19,1,Fully Shipped
SO/CUT1/26/01286,2025-08-19,0,Not Shipped
SO/CUT1/26/01287,2025-08-19,1,Fully Shipped
SO/CUT1/26/01288,2025-08-19,1,Fully Shipped
SO/CUT1/26/01289,2025-08-19,1,Fully Shipped
SO/CUT1/26/01290,2025-08-19,1,Fully Shipped
SO/CUT1/26/01291,2025-08-19,0,Not Shipped
SO/CUT1/26/01292,2025-08-19,1,Fully Shipped
SO/CUT1/26/01293,2025-08-19,1,Fully Shipped
SO/CUT1/26/01294,2025-08-19,1,Fully Shipped
SO/CUT1/26/01295,2025-08-19,1,Fully Shipped
SO/CUT1/26/01296,2025-08-19,1,Fully Shipped
SO/CUT1/26/01297,2025-08-19,1,Fully Shipped
SO/CUT1/26/01298,2025-08-19,0,Not Shipped
SO/CUT1/26/01299,2025-08-19,1,Fully Shipped
SO/CUT1/26/01300,2025-08-19,1,Fully Shipped
SO/CUT1/26/01301,2025-08-19,1,Fully Shipped
SO/CUT1/26/01302,2025-08-19,0,Not Shipped
SO/CUT1/26/01303,2025-08-19,1,Fully Shipped
SO/CUT1/26/01304,2025-08-19,1,Fully Shipped
SO/CUT1/26/01305,2025-08-19,1,Fully Shipped
SO/CUT1/26/01306,2025-08-19,1,Fully Shipped
SO/CUT1/26/01307,2025-08-19,1,Fully Shipped
SO/CUT1/26/01308,2025-08-19,0,Not Shipped
SO/CUT1/26/01309,2025-08-19,1,Fully Shipped
SO/CUT1/26/01310,2025-08-19,1,Fully Shipped
SO/CUT1/26/01311,2025-08-19,1,Fully Shipped
SO/CUT1/26/01312,2025-08-19,1,Fully Shipped
SO/CUT1/26/01313,2025-08-19,1,Fully Shipped
SO/CUT1/26/01314,2025-08-19,1,Fully Shipped
SO/CUT1/26/01315,2025-08-19,1,Fully Shipped
SO/CUT1/26/01316,2025-08-19,1,Fully Shipped
SO/CUT1/26/01317,2025-08-19,1,Fully Shipped
SO/CUT1/26/01318,2025-08-19,1,Fully Shipped
SO/CUT1/26/01319,2025-08-19,1,Fully Shipped
SO/CUT1/26/01320,2025-08-19,1,Fully Shipped
SO/CUT1/26/01321,2025-08-19,1,Fully Shipped
SO/CUT1/26/01322,2025-08-19,0,Not Shipped
SO/CUT1/26/01323,2025-08-19,1,Fully Shipped
SO/CUT1/26/01324,2025-08-19,1,Fully Shipped
SO/CUT1/26/01325,2025-08-19,1,Fully Shipped
SO/CUT1/26/01326,2025-08-19,1,Fully Shipped
SO/CUT1/26/01327,2025-08-19,1,Fully Shipped
SO/CUT1/26/01328,2025-08-19,1,Fully Shipped
SO/CUT1/26/01329,2025-08-19,1,Fully Shipped
SO/CUT1/26/01330,2025-08-19,0,Not Shipped
SO/CUT1/26/01331,2025-08-19,1,Fully Shipped
SO/CUT1/26/01332,2025-08-19,0,Not Shipped
SO/CUT1/26/01333,2025-08-19,1,Fully Shipped
SO/CUT1/26/01334,2025-08-19,1,Fully Shipped
SO/CUT1/26/01335,2025-08-19,1,Fully Shipped
SO/CUT1/26/01336,2025-08-19,1,Fully Shipped
SO/CUT1/26/01337,2025-08-19,0,Not Shipped
SO/CUT1/26/01338,2025-08-19,0,Not Shipped
SO/CUT1/26/01339,2025-08-19,1,Fully Shipped
SO/CUT1/26/01340,2025-08-19,1,Fully Shipped
SO/CUT1/26/01341,2025-08-19,1,Fully Shipped
SO/CUT1/26/01342,2025-08-19,1,Fully Shipped
SO/CUT1/26/01343,2025-08-19,1,Fully Shipped
SO/CUT1/26/01344,2025-08-19,1,Fully Shipped
SO/CUT1/26/01345,2025-08-19,1,Fully Shipped
SO/CUT1/26/01346,2025-08-19,1,Fully Shipped
SO/CUT1/26/01347,2025-08-19,1,Fully Shipped
SO/CUT1/26/01348,2025-08-19,1,Fully Shipped
SO/CUT1/26/01349,2025-08-19,1,Fully Shipped
SO/CUT1/26/01350,2025-08-19,1,Fully Shipped
SO/CUT1/26/01351,2025-08-19,1,Fully Shipped
SO/CUT1/26/01352,2025-08-20,1,Fully Shipped
SO/CUT1/26/01353,2025-08-18,1,Fully Shipped
SO/CUT1/26/01354,2025-08-20,1,Fully Shipped
SO/CUT1/26/01355,2025-08-20,1,Fully Shipped
SO/CUT1/26/01356,2025-08-20,1,Fully Shipped
SO/CUT1/26/01357,2025-08-20,1,Fully Shipped
SO/CUT1/26/01358,2025-08-20,1,Fully Shipped
SO/CUT1/26/01359,2025-08-11,1,Fully Shipped
SO/CUT1/26/01360,2025-08-20,1,Fully Shipped
SO/CUT1/26/01361,2025-08-20,1,Fully Shipped
SO/CUT1/26/01362,2025-08-20,1,Fully Shipped
SO/CUT1/26/01363,2025-08-20,1,Fully Shipped
SO/CUT1/26/01364,2025-08-21,1,Fully Shipped
SO/CUT1/26/01365,2025-08-21,1,Fully Shipped
SO/CUT1/26/01366,2025-08-18,1,Fully Shipped
SO/CUT1/26/01367,2025-08-21,1,Fully Shipped
SO/CUT1/26/01368,2025-08-22,1,Fully Shipped
SO/CUT1/26/01369,2025-08-22,1,Fully Shipped
SO/CUT1/26/01370,2025-08-22,1,Fully Shipped
SO/CUT1/26/01371,2025-08-23,1,Fully Shipped
SO/CUT1/26/01372,2025-08-22,1,Fully Shipped
SO/CUT1/26/01373,2025-08-25,1,Fully Shipped
SO/CUT1/26/01374,2025-08-25,1,Fully Shipped
SO/CUT1/26/01375,2025-08-25,1,Fully Shipped
SO/CUT1/26/01376,2025-08-25,1,Fully Shipped
SO/CUT1/26/01377,2025-08-25,1,Fully Shipped
SO/CUT1/26/01378,2025-08-26,1,Fully Shipped
SO/CUT1/26/01379,2025-08-26,1,Fully Shipped
SO/CUT1/26/01380,2025-08-18,1,Fully Shipped
SO/CUT1/26/01381,2025-08-26,1,Fully Shipped
SO/CUT1/26/01382,2025-08-20,1,Fully Shipped
SO/CUT1/26/01383,2025-08-27,1,Fully Shipped
SO/CUT1/26/01384,2025-08-27,1,Fully Shipped
SO/CUT1/26/01385,2025-08-27,1,Fully Shipped
SO/CUT1/26/01386,2025-08-27,1,Fully Shipped
SO/CUT1/26/01387,2025-08-27,1,Fully Shipped
SO/CUT1/26/01388,2025-08-27,1,Fully Shipped
SO/CUT1/26/01389,2025-08-28,1,Fully Shipped
SO/CUT1/26/01390,2025-08-29,1,Fully Shipped
SO/CUT1/26/01391,2025-08-29,1,Fully Shipped
SO/CUT1/26/01392,2025-08-29,1,Fully Shipped
SO/CUT1/26/01393,2025-08-29,1,Fully Shipped
SO/CUT1/26/01394,2025-08-30,1,Fully Shipped
SO/CUT1/26/01395,2025-08-30,1,Fully Shipped
SO/CUT1/26/01396,2025-08-30,1,Fully Shipped
SO/CUT1/26/01397,2025-08-30,1,Fully Shipped
SO/CUT1/26/01398,2025-08-30,1,Fully Shipped
SO/CUT1/26/01399,2025-08-30,1,Fully Shipped
SO/CUT1/26/01400,2025-08-30,1,Fully Shipped
SO/CUT1/26/01401,2025-08-30,1,Fully Shipped
SO/CUT1/26/01402,2025-08-30,1,Fully Shipped
SO/CUT1/26/01403,2025-08-30,1,Fully Shipped
SO/CUT1/26/01404,2025-08-31,1,Fully Shipped
SO/CUT1/26/01405,2025-08-31,1,Fully Shipped
SO/CUT1/26/01406,2025-08-31,1,Fully Shipped
SO/CUT1/26/01407,2025-08-31,0,Not Shipped
SO/CUT1/26/01408,2025-08-31,1,Fully Shipped
SO/CUT1/26/01409,2025-08-31,1,Fully Shipped
SO/CUT1/26/01410,2025-08-31,1,Fully Shipped
SO/CUT1/26/01411,2025-08-31,1,Fully Shipped
SO/CUT1/26/01412,2025-08-31,1,Fully Shipped
SO/CUT1/26/01413,2025-08-31,1,Fully Shipped
SO/CUT1/26/01414,2025-08-31,1,Fully Shipped
SO/CUT1/26/01415,2025-08-31,1,Fully Shipped
SO/CUT1/26/01416,2025-08-31,1,Fully Shipped
SO/CUT1/26/01417,2025-08-31,1,Fully Shipped
SO/CUT1/26/01418,2025-08-31,1,Fully Shipped
SO/CUT1/26/01419,2025-08-31,1,Fully Shipped
SO/CUT1/26/01420,2025-08-31,1,Fully Shipped
SO/CUT1/26/01421,2025-08-31,1,Fully Shipped
SO/CUT1/26/01422,2025-08-31,1,Fully Shipped
SO/CUT1/26/01423,2025-08-31,1,Fully Shipped
SO/CUT1/26/01424,2025-08-31,1,Fully Shipped
SO/CUT1/26/01425,2025-08-31,1,Fully Shipped
SO/CUT1/26/01426,2025-08-31,1,Fully Shipped
SO/CUT1/26/01427,2025-08-31,1,Fully Shipped
SO/CUT1/26/01428,2025-08-31,1,Fully Shipped
SO/CUT1/26/01429,2025-08-31,1,Fully Shipped
SO/CUT1/26/01430,2025-08-31,1,Fully Shipped
SO/CUT1/26/01431,2025-08-31,1,Fully Shipped
SO/CUT1/26/01432,2025-08-31,1,Fully Shipped
SO/CUT1/26/01433,2025-08-31,1,Fully Shipped
SO/CUT1/26/01434,2025-08-31,1,Fully Shipped
SO/CUT1/26/01435,2025-08-31,1,Fully Shipped
SO/CUT1/26/01436,2025-08-31,1,Fully Shipped
SO/CUT1/26/01437,2025-08-31,1,Fully Shipped
SO/CUT1/26/01438,2025-08-31,1,Fully Shipped
SO/CUT1/26/01439,2025-08-31,1,Fully Shipped
SO/CUT1/26/01440,2025-08-31,1,Fully Shipped
SO/CUT1/26/01441,2025-08-31,1,Fully Shipped
SO/CUT1/26/01442,2025-08-31,1,Fully Shipped
SO/CUT1/26/01443,2025-08-31,1,Fully Shipped
SO/CUT1/26/01444,2025-08-31,1,Fully Shipped
SO/CUT1/26/01445,2025-08-31,1,Fully Shipped
SO/CUT1/26/01446,2025-08-31,1,Fully Shipped
SO/CUT1/26/01447,2025-08-31,1,Fully Shipped
SO/CUT1/26/01448,2025-08-31,0,Not Shipped
SO/CUT1/26/01449,2025-08-31,1,Fully Shipped
SO/CUT1/26/01450,2025-08-31,1,Fully Shipped
SO/CUT1/26/01451,2025-08-31,1,Fully Shipped
SO/CUT1/26/01452,2025-08-31,1,Fully Shipped
SO/CUT1/26/01453,2025-08-31,1,Fully Shipped
SO/CUT1/26/01454,2025-08-31,1,Fully Shipped
SO/CUT1/26/01455,2025-08-31,1,Fully Shipped
SO/CUT1/26/01456,2025-08-31,1,Fully Shipped
SO/CUT1/26/01457,2025-08-31,1,Fully Shipped
SO/CUT1/26/01458,2025-08-31,1,Fully Shipped
SO/CUT1/26/01459,2025-08-31,1,Fully Shipped
SO/CUT1/26/01460,2025-08-31,1,Fully Shipped
SO/CUT1/26/01461,2025-08-31,1,Fully Shipped
SO/CUT1/26/01462,2025-08-31,1,Fully Shipped
SO/CUT1/26/01463,2025-08-31,1,Fully Shipped
SO/CUT1/26/01464,2025-08-31,1,Fully Shipped
SO/CUT1/26/01465,2025-08-31,1,Fully Shipped
SO/CUT1/26/01466,2025-08-31,1,Fully Shipped
SO/CUT1/26/01467,2025-08-31,1,Fully Shipped
SO/CUT1/26/01468,2025-08-31,1,Fully Shipped
SO/CUT1/26/01469,2025-08-31,1,Fully Shipped
SO/CUT1/26/01470,2025-08-31,1,Fully Shipped
SO/CUT1/26/01471,2025-08-31,1,Fully Shipped
SO/CUT1/26/01472,2025-08-31,1,Fully Shipped
SO/CUT1/26/01473,2025-08-31,1,Fully Shipped
SO/CUT1/26/01474,2025-08-31,0,Not Shipped
SO/CUT1/26/01475,2025-08-31,1,Fully Shipped
SO/CUT1/26/01476,2025-08-31,1,Fully Shipped
SO/CUT1/26/01477,2025-08-31,1,Fully Shipped
SO/CUT1/26/01478,2025-08-31,1,Fully Shipped
SO/CUT1/26/01479,2025-08-31,1,Fully Shipped
SO/CUT1/26/01480,2025-08-31,1,Fully Shipped
SO/CUT1/26/01481,2025-08-31,1,Fully Shipped
SO/CUT1/26/01482,2025-08-31,1,Fully Shipped
SO/CUT1/26/01483,2025-08-31,1,Fully Shipped
SO/CUT1/26/01484,2025-08-31,1,Fully Shipped
SO/CUT1/26/01485,2025-08-31,1,Fully Shipped
SO/CUT1/26/01486,2025-08-31,1,Fully Shipped
SO/CUT1/26/01487,2025-08-31,1,Fully Shipped
SO/CUT1/26/01488,2025-08-31,1,Fully Shipped
SO/CUT1/26/01489,2025-08-31,1,Fully Shipped
SO/CUT1/26/01490,2025-08-31,1,Fully Shipped
SO/CUT1/26/01491,2025-09-02,1,Fully Shipped
SO/CUT1/26/01492,2025-08-31,1,Fully Shipped
