Vendor,Total_POs,On_Time_POs,Late_POs,On_Time_Pct,Performance_Bucket
Nilkamal Limited-Andheri,1,1,0,100.0,100%
OM INDUSTRIES-NEW,14,10,4,71.43,70–79%
OM SAI ENTERPRISE - JW,3,3,0,100.0,100%
OM SAI ENTERPRISE - SL - JW,21,14,7,66.67,<70%
OMKAR multipack Industries,1,0,1,0.0,<70%
P R ENTERPRISES,18,14,4,77.78,70–79%
P.P.ASSEMBLING,17,9,8,52.94,<70%
P5 MARKETING,1,0,1,0.0,<70%
PAARTH INDUSTRIES,3,1,2,33.33,<70%
PACKAGING POINT,2,2,0,100.0,100%
PANKAJ POLYMERS,10,9,1,90.0,90–99%
PARTHIV PLASTIC IND,13,8,5,61.54,<70%
PASUPATY INDUSTRIES,10,8,2,80.0,80–89%
PC ELECTROCOMP PRIVATE LIMITED,1,1,0,100.0,100%
PERFECT PACKERS,5,2,3,40.0,<70%
PERFECT PRINT CARE,2,2,0,100.0,100%
PLATINUM INDUSTRIES,22,18,4,81.82,80–89%
PRAGATI ENTERPRISES,22,7,15,31.82,<70%
PREM MICRO ELECTRONICS,6,6,0,100.0,100%
PRINT LINE,13,4,9,30.77,<70%
PRINT SHOPPE,1,0,1,0.0,<70%
PRINTSOUK,10,2,8,20.0,<70%
PRITAM CERAMICS,5,1,4,20.0,<70%
PRIYA ENTERPRISES,2,0,2,0.0,<70%
PW PRINTWAYS INDIA PRIVATE LIMITED,4,3,1,75.0,70–79%
Palak Metals Co.,2,1,1,50.0,<70%
Pankaj Kumar,11,10,1,90.91,90–99%
Parmar Engineering Works,5,3,2,60.0,<70%
QUALITYZ PACKAGING SOLUTIONS,1,1,0,100.0,100%
R S ENTERPRISES,7,5,2,71.43,70–79%
RAHUL ENTERPRISES-2,5,4,1,80.0,80–89%
RAI INNOTECH POLYMERS PVT. LTD.,1,0,1,0.0,<70%
RAJ RAI,6,5,1,83.33,80–89%
RAJAN ELETRICALS,11,2,9,18.18,<70%
RAJENDRAPRASAD R MOURYA,3,2,1,66.67,<70%
RAJESHREE INDUSTRIES,14,2,12,14.29,<70%
RAJESHWAR TIVARI,3,3,0,100.0,100%
RAJIV PLASTICS INDUSTRIES,6,3,3,50.0,<70%
RAJU HOTKAR,11,7,4,63.64,<70%
RAKESH KUMAR,1,1,0,100.0,100%
RAM ASHRAY PATEL - JW,9,8,1,88.89,80–89%
RAM KUMAR VERMA - JW,4,2,2,50.0,<70%
RAM LAKHAN,3,3,0,100.0,100%
RAM LAL RAM CHANDRA (INDIA) LTD.,5,2,3,40.0,<70%
RAM SHARAN - JW,16,12,4,75.0,70–79%
RAMANUJ TIWARI - JW,1,1,0,100.0,100%
RAMESH BRASS PRODUCTS,1,0,1,0.0,<70%
RAYLENSE OPTO ELECTRONICS INDUSTRIES PRIVATE LIMITED,14,7,7,50.0,<70%
REKHA TRADING CO,2,0,2,0.0,<70%
REPRO POLYTECH,7,6,1,85.71,80–89%
RIDDHI SIDDHI CORPORATION,40,33,7,82.5,80–89%
RIYANSH PACKAGING,1,0,1,0.0,<70%
RONCH POLYMERS PVT LTD,6,2,4,33.33,<70%
ROYAL CERAMIC,1,1,0,100.0,100%
RUPAL PLASTICS PVT LTD,34,31,3,91.18,90–99%
Radiant Electronics ,2,1,1,50.0,<70%
Raj Dhani Enterprises,4,1,3,25.0,<70%
Rajendra D. Mane,10,6,4,60.0,<70%
Ramaya Packaging,56,48,8,85.71,80–89%
Rohit Enterprise,1,0,1,0.0,<70%
S M MODULAR LLP,3,3,0,100.0,100%
S.PLASTICS,7,4,3,57.14,<70%
SACHIN VARMA,1,0,1,0.0,<70%
SADGURU INDUSTRIES,6,4,2,66.67,<70%
SAI ENTERPRISES (VENDOR),4,1,3,25.0,<70%
SAI PRASAD ELECTRIC WORKS,8,5,3,62.5,<70%
SAINATH BACKLITE MOULDING - JW,3,1,2,33.33,<70%
SANDEEP KUMAR,2,1,1,50.0,<70%
SANDHYA DEVI,1,0,1,0.0,<70%
SANGEETA PATEL - JW,1,1,0,100.0,100%
SATISH KUMAR MAURYA - JW,18,12,6,66.67,<70%
SATYAM SPRING WORKS,3,3,0,100.0,100%
SAURABH PATEL,4,2,2,50.0,<70%
SEEMA DEVI - JW,1,1,0,100.0,100%
SHALU - JW,4,1,3,25.0,<70%
SHANTIDEVI-JW,8,5,3,62.5,<70%
SHIV ENTERPRISES,7,5,2,71.43,70–79%
SHIVAKESH PATEL,31,29,2,93.55,90–99%
SHIVAM ENTERPRISES,5,2,3,40.0,<70%
SHIVOM PRINTERS,1,1,0,100.0,100%
SHIVPAL ENTERPRISE,6,4,2,66.67,<70%
SHOBHA DEVI,8,6,2,75.0,70–79%
SHREE ADITYA POLYSPIN INDUSTRIES,2,2,0,100.0,100%
SHREE BALAJI PRINTERS,31,19,12,61.29,<70%
SHREE BHERUNATH ENTERPRISES,4,4,0,100.0,100%
SHREE RADHIKA PLAST LLP,1,1,0,100.0,100%
SHREE VINAYAK MARKETING,1,0,1,0.0,<70%
SHREEDUTT INDUSTRIES,5,0,5,0.0,<70%
SHRI RAM PETRO TRADE PRIVATE LIMITED,19,17,2,89.47,80–89%
SIDDHARTH ONE,3,3,0,100.0,100%
SIDDHISAI INDUSTRIES,3,0,3,0.0,<70%
SRI DURGE ENTERPRISES,7,3,4,42.86,<70%
SRI MADHAV PACKERS,1,1,0,100.0,100%
SSG ENERGY INDIA PVT LTD,2,0,2,0.0,<70%
STAR ENTERPRISE,1,0,1,0.0,<70%
STREAMLINE OVERSEAS,3,1,2,33.33,<70%
SULOCHANA ORGANIC (P) LTD,2,0,2,0.0,<70%
SUN LABEL MANUFACTURING,4,4,0,100.0,100%
SUNRISE POLYMER,16,12,4,75.0,70–79%
SUPER SALES,1,1,0,100.0,100%
SUPREME CORRUGATING INDUSTRIES PVT.LTD.,6,4,2,66.67,<70%
SWAROOP CERAMIC,6,3,3,50.0,<70%
SWATI RATHOD - JW,5,1,4,20.0,<70%
Satish Brass Product,8,1,7,12.5,<70%
Shibura Machine India Private Limited,1,0,1,0.0,<70%
Shiv Mahima Enterprises,3,0,3,0.0,<70%
Shiv Shakti Packaging Industries,1,0,1,0.0,<70%
Shree Ganesh Engineering Works,1,0,1,0.0,<70%
Shree Ganesh Industries,10,9,1,90.0,90–99%
Shree Momai Trading Company,3,1,2,33.33,<70%
Siddharth Enterprises,4,1,3,25.0,<70%
Super shakti trading co,8,8,0,100.0,100%
Supreme Innovations,8,4,4,50.0,<70%
Sushma Tiwari,3,2,1,66.67,<70%
Swastik Enterprises,7,3,4,42.86,<70%
TANISHA ENTERPRISES,13,5,8,38.46,<70%
TELCON BIMETALS,4,3,1,75.0,70–79%
TIRUPATI SALES CORPORATION,10,2,8,20.0,<70%
TISO INDUSTRIES,16,13,3,81.25,80–89%
TOTAL POLY PRINT PRIVATE LIMITED,6,1,5,16.67,<70%
TTR Enterprises,4,4,0,100.0,100%
TWOBROS AND CO,4,1,3,25.0,<70%
URVI PLASTIC INDUSTRIES,13,12,1,92.31,90–99%
URVI PLASTIC INDUSTRIES - HD,2,2,0,100.0,100%
Unimaxe Switchgear,4,2,2,50.0,<70%
Unnati Spring Technology,2,0,2,0.0,<70%
Uttam Nayak,17,10,7,58.82,<70%
V S ENTERPRISES,3,0,3,0.0,<70%
VARAHI MATA ENTERPRISE,13,6,7,46.15,<70%
VENUS COLOURANTS,20,19,1,95.0,90–99%
VENUS PRINTS,3,3,0,100.0,100%
VIJAY KUMAR TRIPATHI,13,11,2,84.62,80–89%
VIKAS AUTOMATES,8,8,0,100.0,100%
VIMALNATH BRASS INDUSTRIES,12,6,6,50.0,<70%
VISHAL PRECISION MOULDS,2,1,1,50.0,<70%
VISION INDUSTRIALS,1,1,0,100.0,100%
VIVANI ELECTRONICS,9,4,5,44.44,<70%
Vardan Enterprises,10,10,0,100.0,100%
Veda Excom Pvt Ltd,8,3,5,37.5,<70%
Venus Industries,22,9,13,40.91,<70%
Vivek Kumar,196,195,1,99.49,90–99%
WANNENG TRADING COMPANY,1,1,0,100.0,100%
WILSON ENGINEERING INDUSTRY,11,9,2,81.82,80–89%
WISTO TECH,3,3,0,100.0,100%
WITCO POTTERIES,8,2,6,25.0,<70%
Wirecom India Pvt. Ltd,9,0,9,0.0,<70%
YAASHVI ENTERPRISES,1,0,1,0.0,<70%
Yamuna Brass Industries,3,0,3,0.0,<70%
Yogi Tilak industries,1,0,1,0.0,<70%
ZODIAC METAL STRIPS LTD,3,3,0,100.0,100%
Zenith Spray & Aerosols (P) Ltd,6,2,4,33.33,<70%
