Item No.,Location Code,Description,Category,Subcategory,On_Hand,Stock_Value,Last Outward Date,Days Dormant,Status,Days Dormant Display
PK-251,LF-SIL-017,,PACKAGING,,13650.0,17105.0,2025-11-13,55.0,Active,55.0
PK-253,LF-AND-28,,PACKAGING,,3215.0,4951.1,2025-11-05,63.0,Slow-Moving,63.0
PK-254,LF-AND-28,,PACKAGING,,4409.0,8598.15,2025-11-13,55.0,Active,55.0
PK-254,LF-HAR-E57,,PACKAGING,,5318.0,17340.0,2025-11-10,58.0,Active,58.0
PK-254,LF-SIL-017,DC 16A Foam,PACKAGING,,16393.0,42774.59,2025-11-13,55.0,Active,55.0
PK-255,LF-AND-28,,PACKAGING,,9425.0,5059.5599999999995,2025-11-13,55.0,Active,55.0
PK-255,LF-SIL-017,,PACKAGING,,32330.0,13530.0,2025-11-13,55.0,Active,55.0
PK-256,LF-DEL-01,RCCB DP Foam,PACKAGING,,3634.0,49377.6,2025-11-10,58.0,Active,58.0
PK-257,LF-DEL-01,RCCB FP Foam,PACKAGING,,383.0,7884.0,2025-11-08,60.0,Active,60.0
PK-259,LF-VAS-006,,PACKAGING,,31400.0,21980.0,,,Dead,Never Moved
PK-260,LF-SIL-017,Porc 100A KK Thermocol Top Bottom Set,PACKAGING,,13795.0,364188.0,2025-10-06,93.0,Slow-Moving,93.0
PK-262,LF-AND-28,,PACKAGING,,301.93,37122.5,2025-11-13,55.0,Active,55.0
PK-262,LF-HAR-E57,Thermocol (For 3x1 Box Master Ctn Set),PACKAGING,,654.491,58125.0,2025-11-13,55.0,Active,55.0
PK-263,LF-AND-28,Thermocol (For 5x1 Master Ctn Set),PACKAGING,,680.35608,47833.5,2025-11-12,56.0,Active,56.0
PK-264,LF-VAS-006,,PACKAGING,,25.0,2375.0,,,Dead,Never Moved
PK-266,LF-AND-28,Thermocol for Outer (DC 6A),PACKAGING,,2480.0,6968.799999999999,2025-11-05,63.0,Slow-Moving,63.0
PK-267,LF-AND-28,,PACKAGING,,3664.8,12911.5,2025-11-13,55.0,Active,55.0
PK-267,LF-SIL-017,Thermocol for Outer (DC 16A),PACKAGING,,10472.0,36652.0,2025-11-13,55.0,Active,55.0
PK-269,LF-AND-28,Thermocol (For DC 16A Master Ctn),PACKAGING,,0.02,3291.95,2025-10-31,68.0,Slow-Moving,68.0
PK-269,LF-SIL-017,Thermocol (For DC 16A Master Ctn),PACKAGING,,2113.21,143386.97999999998,2025-11-13,55.0,Active,55.0
PK-271,LF-SIL-017,Thermocol (Surf DP),PACKAGING,,5549.0,26160.8,2025-11-07,61.0,Slow-Moving,61.0
PK-272,LF-SIL-017,Thermocol (Flush DP),PACKAGING,,7550.0,32012.0,2025-09-01,128.0,Slow-Moving,128.0
PK-273,LF-HAR-E57,,PACKAGING,,15000.0,1800.0,,,Dead,Never Moved
PK-285,LF-HAR-E57,Wawa 5x1 Foam,PACKAGING,,5100.0,7905.0,2025-11-10,58.0,Active,58.0
PK-291,LF-SIL-017,Porc KK Thermocol Set for 63/240V,PACKAGING,,2551.0,22448.800000000003,2025-11-12,56.0,Active,56.0
PK-299,LF-PAL-A03,Sheet Thermocol for Master Ctn,PACKAGING,,500.0,8800.0,2025-10-06,93.0,Slow-Moving,93.0
PK-301,LF-SIL-017,Porc 16/240V KK Thermocol Set for Master Ctn,PACKAGING,,70.0,2942.8,2025-11-12,56.0,Active,56.0
PK-302,LF-SIL-017,Porc 32/240V KK Thermocol Set for Master Ctn,PACKAGING,,90.00272,4149.389999999999,2025-10-11,88.0,Slow-Moving,88.0
PK-303,LF-SIL-017,Porc 32/415V KK Thermocol Set for Master Ctn,PACKAGING,,121.92839000000001,11291.7,2025-11-08,60.0,Active,60.0
PK-304,LF-SIL-017,Porc 63/415V KK Thermocol Set for Master Ctn,PACKAGING,,51.80732,9669.45,2025-11-12,56.0,Active,56.0
