Vendor,Total_POs,On_Time_POs,Late_POs,On_Time_Pct,Bucket,Vendor Count,Performance_Bucket
SHRI RAM PETRO TRADE PRIVATE LIMITED,19,17,2,89.47,,,
SIDDHARTH ONE,3,3,0,100.0,,,
SIDDHISAI INDUSTRIES,3,0,3,0.0,,,
SRI DURGE ENTERPRISES,7,3,4,42.86,,,
SRI MADHAV PACKERS,1,1,0,100.0,,,
SSG ENERGY INDIA PVT LTD,2,0,2,0.0,,,
STAR ENTERPRISE,1,0,1,0.0,,,
STREAMLINE OVERSEAS,3,1,2,33.33,,,
SULOCHANA ORGANIC (P) LTD,2,0,2,0.0,,,
SUN LABEL MANUFACTURING,4,4,0,100.0,,,
SUNRISE POLYMER,16,12,4,75.0,,,
SUPER SALES,1,1,0,100.0,,,
SUPREME CORRUGATING INDUSTRIES PVT.LTD.,6,4,2,66.67,,,
SWAROOP CERAMIC,6,3,3,50.0,,,
SWATI RATHOD - JW,5,1,4,20.0,,,
Satish Brass Product,8,1,7,12.5,,,
Shibura Machine India Private Limited,1,0,1,0.0,,,
Shiv Mahima Enterprises,3,0,3,0.0,,,
Shiv Shakti Packaging Industries,1,0,1,0.0,,,
Shree Ganesh Engineering Works,1,0,1,0.0,,,
Shree Ganesh Industries,10,9,1,90.0,,,
Shree Momai Trading Company,3,1,2,33.33,,,
Siddharth Enterprises,4,1,3,25.0,,,
Super shakti trading co,8,8,0,100.0,,,
Supreme Innovations,8,4,4,50.0,,,
Sushma Tiwari,3,2,1,66.67,,,
Swastik Enterprises,7,3,4,42.86,,,
TANISHA ENTERPRISES,13,5,8,38.46,,,
TELCON BIMETALS,4,3,1,75.0,,,
TIRUPATI SALES CORPORATION,10,2,8,20.0,,,
TISO INDUSTRIES,16,13,3,81.25,,,
TOTAL POLY PRINT PRIVATE LIMITED,6,1,5,16.67,,,
TTR Enterprises,4,4,0,100.0,,,
TWOBROS AND CO,4,1,3,25.0,,,
URVI PLASTIC INDUSTRIES,13,12,1,92.31,,,
URVI PLASTIC INDUSTRIES - HD,2,2,0,100.0,,,
Unimaxe Switchgear,4,2,2,50.0,,,
Unnati Spring Technology,2,0,2,0.0,,,
Uttam Nayak,17,10,7,58.82,,,
V S ENTERPRISES,3,0,3,0.0,,,
VARAHI MATA ENTERPRISE,13,6,7,46.15,,,
VENUS COLOURANTS,20,19,1,95.0,,,
VENUS PRINTS,3,3,0,100.0,,,
VIJAY KUMAR TRIPATHI,13,11,2,84.62,,,
VIKAS AUTOMATES,8,8,0,100.0,,,
VIMALNATH BRASS INDUSTRIES,12,6,6,50.0,,,
VISHAL PRECISION MOULDS,2,1,1,50.0,,,
VISION INDUSTRIALS,1,1,0,100.0,,,
VIVANI ELECTRONICS,9,4,5,44.44,,,
Vardan Enterprises,10,10,0,100.0,,,
Veda Excom Pvt Ltd,8,3,5,37.5,,,
Venus Industries,22,9,13,40.91,,,
Vivek Kumar,196,195,1,99.49,,,
WANNENG TRADING COMPANY,1,1,0,100.0,,,
WILSON ENGINEERING INDUSTRY,11,9,2,81.82,,,
WISTO TECH,3,3,0,100.0,,,
WITCO POTTERIES,8,2,6,25.0,,,
Wirecom India Pvt. Ltd,9,0,9,0.0,,,
YAASHVI ENTERPRISES,1,0,1,0.0,,,
Yamuna Brass Industries,3,0,3,0.0,,,
Yogi Tilak industries,1,0,1,0.0,,,
ZODIAC METAL STRIPS LTD,3,3,0,100.0,,,
Zenith Spray & Aerosols (P) Ltd,6,2,4,33.33,,,
,,,,,100%,80.0,100%
,,,,,90–99%,20.0,90–99%
,,,,,80–89%,36.0,80–89%
,,,,,70–79%,36.0,70–79%
,,,,,<70%,212.0,<70%
