PO_No,Vendor,Order_Date,Last_Receiving_No,Last_Receipt_Date,Outstanding_Qty,Days_Difference,Delivery_Status,Month
SUBCONPO/26/01490,Dheeraj Kumar,15-10-2025,PPR/SIL/26/2087,28-10-2025,0.0,13,≤15 days,October 2025
SUBCONPO/26/01491,MIRAJ ENTERPRISE,15-10-2025,PPR/SIL/26/2225,31-10-2025,0.0,16,>15 days,October 2025
SUBCONPO/26/01492,MIRAJ ENTERPRISE,15-10-2025,PPR/SIL/26/2221,31-10-2025,0.0,16,>15 days,October 2025
SUBCONPO/26/01493,Vivek Kumar,15-10-2025,PPR/DEL/26/01054,15-10-2025,0.0,0,≤15 days,October 2025
SUBCONPO/26/01494,MANJESH,15-10-2025,PPR/DEL/26/01055,15-10-2025,0.0,0,≤15 days,October 2025
SUBCONPO/26/01495,Vivek Kumar,15-10-2025,PPR/DEL/26/01056,15-10-2025,0.0,0,≤15 days,October 2025
SUBCONPO/26/01496,MANJESH,15-10-2025,PPR/DEL/26/01057,15-10-2025,0.0,0,≤15 days,October 2025
SUBCONPO/26/01497,STAR ENTERPRISE,15-10-2025,PPR/SIL/26/2064,27-10-2025,1839.0,12,≤15 days,October 2025
SUBCONPO/26/01498,Manoj Patel - JW,15-10-2025,PPR/HAR/26/02954,31-10-2025,0.0,16,>15 days,October 2025
SUBCONPO/26/01499,Mohit Enterprises,15-10-2025,PPR/HAR/26/02513,17-10-2025,0.0,2,≤15 days,October 2025
SUBCONPO/26/01500,Ashish Kumar Tripathi,15-10-2025,PPR/HAR/26/02829,29-10-2025,2835.0,14,≤15 days,October 2025
SUBCONPO/26/01501,Ashish Kumar Tripathi,15-10-2025,PPR/HAR/26/02952,31-10-2025,0.0,16,>15 days,October 2025
SUBCONPO/26/01502,AWANT KUMAR - JW,15-10-2025,PPR/HAR/26/02492,17-10-2025,0.0,2,≤15 days,October 2025
SUBCONPO/26/01503,Khushbu,15-10-2025,PPR/HAR/26/02522,17-10-2025,0.0,2,≤15 days,October 2025
SUBCONPO/26/01504,RAM SHARAN - JW,15-10-2025,PPR/HAR/26/02602,25-10-2025,0.0,10,≤15 days,October 2025
SUBCONPO/26/01505,ARUN MISHRA - JW,15-10-2025,PPR/HAR/26/02695,27-10-2025,0.0,12,≤15 days,October 2025
SUBCONPO/26/01506,Pankaj Kumar,15-10-2025,PPR/HAR/26/03030,31-10-2025,0.0,16,>15 days,October 2025
SUBCONPO/26/01507,AWANT KUMAR - JW,15-10-2025,PPR/HAR/26/02962,31-10-2025,0.0,16,>15 days,October 2025
SUBCONPO/26/01508,GHANSHYAM SINGH,15-10-2025,PPR/SIL/26/2264,05-11-2025,0.0,21,>15 days,November 2025
SUBCONPO/26/01509,SHANTIDEVI-JW,15-10-2025,PPR/SIL/26/2084,28-10-2025,0.0,13,≤15 days,October 2025
SUBCONPO/26/01510,OM SAI ENTERPRISE - SL - JW,15-10-2025,PPR/SIL/26/2301,07-11-2025,0.0,23,>15 days,November 2025
SUBCONPO/26/01511,RAM KUMAR VERMA - JW,15-10-2025,PPR/HAR/26/02669,27-10-2025,0.0,12,≤15 days,October 2025
SUBCONPO/26/01512,Uttam Nayak,09-10-2025,PPR/AND/26/02290,27-10-2025,0.0,18,>15 days,October 2025
SUBCONPO/26/01513,PLATINUM INDUSTRIES,16-10-2025,PPR/HAR/26/02329,15-10-2025,0.0,-1,No Receipt,October 2025
SUBCONPO/26/01514,Uttam Nayak,09-10-2025,PPR/AND/26/02159,29-10-2025,0.0,20,>15 days,October 2025
SUBCONPO/26/01515,Shree Ganesh Industries,16-10-2025,PPR/HAR/26/02307,15-10-2025,0.0,-1,No Receipt,October 2025
SUBCONPO/26/01516,Shree Ganesh Industries,16-10-2025,PPR/HAR/26/02308,15-10-2025,0.0,-1,No Receipt,October 2025
SUBCONPO/26/01517,K.P.ENTERPRISES,13-10-2025,PPR/AND/26/02265,07-11-2025,0.0,25,>15 days,November 2025
SUBCONPO/26/01518,Shree Ganesh Industries,16-10-2025,PPR/HAR/26/02309,15-10-2025,0.0,-1,No Receipt,October 2025
SUBCONPO/26/01519,Nandini Industries,16-10-2025,PPR/AND/26/02200,03-11-2025,0.0,18,>15 days,November 2025
SUBCONPO/26/01520,Shree Ganesh Industries,16-10-2025,PPR/HAR/26/02314,15-10-2025,0.0,-1,No Receipt,October 2025
SUBCONPO/26/01521,Shree Ganesh Industries,16-10-2025,PPR/HAR/26/02316,15-10-2025,0.0,-1,No Receipt,October 2025
SUBCONPO/26/01522,Shree Ganesh Industries,16-10-2025,PPR/HAR/26/02318,15-10-2025,0.0,-1,No Receipt,October 2025
SUBCONPO/26/01523,Shree Ganesh Industries,16-10-2025,PPR/HAR/26/02321,15-10-2025,0.0,-1,No Receipt,October 2025
SUBCONPO/26/01524,Gem Enterprises,16-10-2025,PPR/HAR/26/02551,25-10-2025,0.0,9,≤15 days,October 2025
SUBCONPO/26/01525,SHIVAKESH PATEL,16-10-2025,PPR/HAR/26/02588,16-10-2025,0.0,0,≤15 days,October 2025
SUBCONPO/26/01526,SHIVAKESH PATEL,16-10-2025,PPR/HAR/26/02460,16-10-2025,0.0,0,≤15 days,October 2025
SUBCONPO/26/01527,SHIVAKESH PATEL,16-10-2025,PPR/HAR/26/02572,16-10-2025,0.0,0,≤15 days,October 2025
